Tau,Delta,Power,Recovery_Rate,Successful_Trials,Method
NA,0,0,0.0,NA,Barber
NA,2,0,0.0,NA,Barber
NA,4,0,0.0,NA,Barber
NA,6,0,0.0,NA,Barber
NA,8,0,0.0,NA,Barber
NA,10,0,0.0,NA,Barber
