,delta,Tau,Method,ARI
5075,12,0.1,Randomized,1.0
5076,12,0.0,Naive,1.0
5077,12,0.1,Randomized,1.0
5078,12,0.0,Naive,1.0
5079,12,0.1,Randomized,1.0
5080,12,0.0,Naive,1.0
5081,12,0.1,Randomized,1.0
5082,12,0.0,Naive,1.0
5083,12,0.1,Randomized,1.0
5084,12,0.0,Naive,1.0
5085,12,0.1,Randomized,1.0
5086,12,0.0,Naive,1.0
5087,12,0.1,Randomized,1.0
5088,12,0.0,Naive,1.0
5089,12,0.1,Randomized,1.0
5090,12,0.0,Naive,1.0
5091,12,0.1,Randomized,1.0
5092,12,0.0,Naive,1.0
5093,12,0.1,Randomized,1.0
5094,12,0.0,Naive,1.0
5095,12,0.1,Randomized,1.0
5096,12,0.0,Naive,1.0
5097,12,0.1,Randomized,1.0
5098,12,0.0,Naive,1.0
5099,12,0.1,Randomized,1.0
5100,12,0.0,Naive,1.0
5101,12,0.1,Randomized,1.0
5102,12,0.0,Naive,1.0
5103,12,0.1,Randomized,1.0
5104,12,0.0,Naive,1.0
5105,12,0.1,Randomized,1.0
5106,12,0.0,Naive,1.0
5107,12,0.1,Randomized,1.0
5108,12,0.0,Naive,1.0
5109,12,0.1,Randomized,1.0
5110,12,0.0,Naive,1.0
5111,12,0.1,Randomized,1.0
5112,12,0.0,Naive,1.0
5113,12,0.1,Randomized,1.0
5114,12,0.0,Naive,1.0
5115,12,0.1,Randomized,1.0
5116,12,0.0,Naive,1.0
5117,12,0.1,Randomized,1.0
5118,12,0.0,Naive,1.0
5119,12,0.1,Randomized,1.0
5120,12,0.0,Naive,1.0
5121,12,0.1,Randomized,1.0
5122,12,0.0,Naive,1.0
5123,12,0.1,Randomized,1.0
5124,12,0.0,Naive,1.0
5125,12,0.1,Randomized,1.0
5126,12,0.0,Naive,1.0
5127,12,0.1,Randomized,1.0
5128,12,0.0,Naive,1.0
5129,12,0.1,Randomized,1.0
5130,12,0.0,Naive,1.0
5131,12,0.1,Randomized,1.0
5132,12,0.0,Naive,1.0
5133,12,0.1,Randomized,1.0
5134,12,0.0,Naive,1.0
5135,12,0.1,Randomized,1.0
5136,12,0.0,Naive,1.0
5137,12,0.1,Randomized,1.0
5138,12,0.0,Naive,1.0
5139,12,0.1,Randomized,1.0
5140,12,0.0,Naive,1.0
5141,12,0.1,Randomized,1.0
5142,12,0.0,Naive,1.0
5143,12,0.1,Randomized,1.0
5144,12,0.0,Naive,1.0
5145,12,0.1,Randomized,1.0
5146,12,0.0,Naive,1.0
5147,12,0.1,Randomized,1.0
5148,12,0.0,Naive,1.0
5149,12,0.1,Randomized,1.0
5150,12,0.0,Naive,1.0
5151,12,0.1,Randomized,1.0
5152,12,0.0,Naive,1.0
5153,12,0.1,Randomized,1.0
5154,12,0.0,Naive,1.0
5155,12,0.1,Randomized,1.0
5156,12,0.0,Naive,1.0
5157,12,0.1,Randomized,1.0
5158,12,0.0,Naive,1.0
5159,12,0.1,Randomized,1.0
5160,12,0.0,Naive,1.0
5161,12,0.1,Randomized,1.0
5162,12,0.0,Naive,1.0
5163,12,0.1,Randomized,1.0
5164,12,0.0,Naive,1.0
5165,12,0.1,Randomized,1.0
5166,12,0.0,Naive,1.0
5167,12,0.1,Randomized,1.0
5168,12,0.0,Naive,1.0
5169,12,0.1,Randomized,1.0
5170,12,0.0,Naive,1.0
5171,12,0.1,Randomized,1.0
5172,12,0.0,Naive,1.0
5173,12,0.1,Randomized,1.0
5174,12,0.0,Naive,1.0
5175,12,0.1,Randomized,1.0
5176,12,0.0,Naive,1.0
5177,12,0.1,Randomized,1.0
5178,12,0.0,Naive,1.0
5179,12,0.1,Randomized,1.0
5180,12,0.0,Naive,1.0
5181,12,0.1,Randomized,1.0
5182,12,0.0,Naive,1.0
5183,12,0.1,Randomized,1.0
5184,12,0.0,Naive,1.0
5185,12,0.1,Randomized,1.0
5186,12,0.0,Naive,1.0
5187,12,0.1,Randomized,1.0
5188,12,0.0,Naive,1.0
5189,12,0.1,Randomized,1.0
5190,12,0.0,Naive,1.0
5191,12,0.1,Randomized,1.0
5192,12,0.0,Naive,1.0
5193,12,0.1,Randomized,1.0
5194,12,0.0,Naive,1.0
5195,12,0.1,Randomized,1.0
5196,12,0.0,Naive,1.0
5197,12,0.1,Randomized,1.0
5198,12,0.0,Naive,1.0
5199,12,0.1,Randomized,1.0
5200,12,0.0,Naive,1.0
5201,12,0.1,Randomized,1.0
5202,12,0.0,Naive,1.0
5203,12,0.1,Randomized,1.0
5204,12,0.0,Naive,1.0
5205,12,0.1,Randomized,1.0
5206,12,0.0,Naive,1.0
5207,12,0.1,Randomized,1.0
5208,12,0.0,Naive,1.0
5209,12,0.1,Randomized,1.0
5210,12,0.0,Naive,1.0
5211,12,0.1,Randomized,1.0
5212,12,0.0,Naive,1.0
5213,12,0.1,Randomized,1.0
5214,12,0.0,Naive,1.0
5215,12,0.1,Randomized,1.0
5216,12,0.0,Naive,1.0
5217,12,0.1,Randomized,1.0
5218,12,0.0,Naive,1.0
5219,12,0.1,Randomized,1.0
5220,12,0.0,Naive,1.0
5221,12,0.1,Randomized,1.0
5222,12,0.0,Naive,1.0
5223,12,0.1,Randomized,1.0
5224,12,0.0,Naive,1.0
5225,12,0.1,Randomized,1.0
5226,12,0.0,Naive,1.0
5227,12,0.1,Randomized,1.0
5228,12,0.0,Naive,1.0
5229,12,0.1,Randomized,1.0
5230,12,0.0,Naive,1.0
5231,12,0.1,Randomized,1.0
5232,12,0.0,Naive,1.0
5233,12,0.1,Randomized,1.0
5234,12,0.0,Naive,1.0
5235,12,0.1,Randomized,1.0
5236,12,0.0,Naive,1.0
5237,12,0.1,Randomized,1.0
5238,12,0.0,Naive,1.0
5239,12,0.1,Randomized,1.0
5240,12,0.0,Naive,1.0
5241,12,0.1,Randomized,1.0
5242,12,0.0,Naive,1.0
5243,12,0.1,Randomized,1.0
5244,12,0.0,Naive,1.0
5245,12,0.1,Randomized,1.0
5246,12,0.0,Naive,1.0
5247,12,0.1,Randomized,1.0
5248,12,0.0,Naive,1.0
5249,12,0.1,Randomized,1.0
5250,12,0.0,Naive,1.0
5251,12,0.1,Randomized,1.0
5252,12,0.0,Naive,1.0
5253,12,0.1,Randomized,1.0
5254,12,0.0,Naive,1.0
5255,12,0.1,Randomized,1.0
5256,12,0.0,Naive,1.0
5257,12,0.1,Randomized,1.0
5258,12,0.0,Naive,1.0
5259,12,0.1,Randomized,1.0
5260,12,0.0,Naive,1.0
5261,12,0.1,Randomized,1.0
5262,12,0.0,Naive,1.0
5263,12,0.1,Randomized,1.0
5264,12,0.0,Naive,1.0
5265,12,0.1,Randomized,1.0
5266,12,0.0,Naive,1.0
5267,12,0.1,Randomized,1.0
5268,12,0.0,Naive,1.0
5269,12,0.1,Randomized,1.0
5270,12,0.0,Naive,1.0
5271,12,0.1,Randomized,1.0
5272,12,0.0,Naive,1.0
5273,12,0.1,Randomized,1.0
5274,12,0.0,Naive,1.0
5275,12,0.1,Randomized,1.0
5276,12,0.0,Naive,1.0
5277,12,0.1,Randomized,1.0
5278,12,0.0,Naive,1.0
5279,12,0.1,Randomized,1.0
5280,12,0.0,Naive,1.0
5281,12,0.1,Randomized,1.0
5282,12,0.0,Naive,1.0
5283,12,0.1,Randomized,1.0
5284,12,0.0,Naive,1.0
5285,12,0.1,Randomized,1.0
5286,12,0.0,Naive,1.0
5287,12,0.1,Randomized,1.0
5288,12,0.0,Naive,1.0
5289,12,0.1,Randomized,1.0
5290,12,0.0,Naive,1.0
5291,12,0.1,Randomized,1.0
5292,12,0.0,Naive,1.0
5293,12,0.1,Randomized,1.0
5294,12,0.0,Naive,1.0
5295,12,0.1,Randomized,1.0
5296,12,0.0,Naive,1.0
5297,12,0.1,Randomized,1.0
5298,12,0.0,Naive,1.0
5299,12,0.1,Randomized,1.0
5300,12,0.0,Naive,1.0
5301,12,0.1,Randomized,1.0
5302,12,0.0,Naive,1.0
5303,12,0.1,Randomized,1.0
5304,12,0.0,Naive,1.0
5305,12,0.1,Randomized,1.0
5306,12,0.0,Naive,1.0
5307,12,0.1,Randomized,1.0
5308,12,0.0,Naive,1.0
5309,12,0.1,Randomized,1.0
5310,12,0.0,Naive,1.0
5311,12,0.1,Randomized,1.0
5312,12,0.0,Naive,1.0
5313,12,0.1,Randomized,1.0
5314,12,0.0,Naive,1.0
5315,12,0.1,Randomized,1.0
5316,12,0.0,Naive,1.0
5317,12,0.1,Randomized,1.0
5318,12,0.0,Naive,1.0
5319,12,0.1,Randomized,1.0
5320,12,0.0,Naive,1.0
5321,12,0.1,Randomized,1.0
5322,12,0.0,Naive,1.0
5323,12,0.1,Randomized,1.0
5324,12,0.0,Naive,1.0
5325,12,0.1,Randomized,1.0
5326,12,0.0,Naive,1.0
5327,12,0.1,Randomized,1.0
5328,12,0.0,Naive,1.0
5329,12,0.1,Randomized,1.0
5330,12,0.0,Naive,1.0
5331,12,0.1,Randomized,1.0
5332,12,0.0,Naive,1.0
5333,12,0.1,Randomized,1.0
5334,12,0.0,Naive,1.0
5335,12,0.1,Randomized,1.0
5336,12,0.0,Naive,1.0
5337,12,0.1,Randomized,1.0
5338,12,0.0,Naive,1.0
5339,12,0.1,Randomized,1.0
5340,12,0.0,Naive,1.0
5341,12,0.1,Randomized,1.0
5342,12,0.0,Naive,1.0
5343,12,0.1,Randomized,1.0
5344,12,0.0,Naive,1.0
5345,12,0.1,Randomized,1.0
5346,12,0.0,Naive,1.0
5347,12,0.1,Randomized,1.0
5348,12,0.0,Naive,1.0
5349,12,0.1,Randomized,1.0
5350,12,0.0,Naive,1.0
5351,12,0.1,Randomized,1.0
5352,12,0.0,Naive,1.0
5353,12,0.1,Randomized,1.0
5354,12,0.0,Naive,1.0
5355,12,0.1,Randomized,1.0
5356,12,0.0,Naive,1.0
5357,12,0.1,Randomized,1.0
5358,12,0.0,Naive,1.0
5359,12,0.1,Randomized,1.0
5360,12,0.0,Naive,1.0
5361,12,0.1,Randomized,1.0
5362,12,0.0,Naive,1.0
5363,12,0.1,Randomized,1.0
5364,12,0.0,Naive,1.0
5365,12,0.1,Randomized,1.0
5366,12,0.0,Naive,1.0
5367,12,0.1,Randomized,1.0
5368,12,0.0,Naive,1.0
5369,12,0.1,Randomized,1.0
5370,12,0.0,Naive,1.0
5371,12,0.1,Randomized,1.0
5372,12,0.0,Naive,1.0
5373,12,0.1,Randomized,1.0
5374,12,0.0,Naive,1.0
5375,12,0.1,Randomized,1.0
5376,12,0.0,Naive,1.0
5377,12,0.1,Randomized,1.0
5378,12,0.0,Naive,1.0
5379,12,0.1,Randomized,1.0
5380,12,0.0,Naive,1.0
5381,12,0.1,Randomized,1.0
5382,12,0.0,Naive,1.0
5383,12,0.1,Randomized,1.0
5384,12,0.0,Naive,1.0
5385,12,0.1,Randomized,1.0
5386,12,0.0,Naive,1.0
5387,12,0.1,Randomized,1.0
5388,12,0.0,Naive,1.0
5389,12,0.1,Randomized,1.0
5390,12,0.0,Naive,1.0
5391,12,0.1,Randomized,1.0
5392,12,0.0,Naive,1.0
5393,12,0.1,Randomized,1.0
5394,12,0.0,Naive,1.0
5395,12,0.1,Randomized,1.0
5396,12,0.0,Naive,1.0
5397,12,0.1,Randomized,1.0
5398,12,0.0,Naive,1.0
5399,12,0.1,Randomized,1.0
5400,12,0.0,Naive,1.0
5401,12,0.1,Randomized,1.0
5402,12,0.0,Naive,1.0
5403,12,0.1,Randomized,1.0
5404,12,0.0,Naive,1.0
5405,12,0.1,Randomized,1.0
5406,12,0.0,Naive,1.0
5407,12,0.1,Randomized,1.0
5408,12,0.0,Naive,1.0
5409,12,0.1,Randomized,1.0
5410,12,0.0,Naive,1.0
5411,12,0.1,Randomized,1.0
5412,12,0.0,Naive,1.0
5413,12,0.1,Randomized,1.0
5414,12,0.0,Naive,1.0
5415,12,0.1,Randomized,1.0
5416,12,0.0,Naive,1.0
5417,12,0.1,Randomized,1.0
5418,12,0.0,Naive,1.0
5419,12,0.1,Randomized,1.0
5420,12,0.0,Naive,1.0
5421,12,0.1,Randomized,1.0
5422,12,0.0,Naive,1.0
5423,12,0.1,Randomized,1.0
5424,12,0.0,Naive,1.0
5425,12,0.1,Randomized,1.0
5426,12,0.0,Naive,1.0
5427,12,0.1,Randomized,1.0
5428,12,0.0,Naive,1.0
5429,12,0.1,Randomized,1.0
5430,12,0.0,Naive,1.0
5431,12,0.1,Randomized,1.0
5432,12,0.0,Naive,1.0
5433,12,0.1,Randomized,1.0
5434,12,0.0,Naive,1.0
5435,12,0.1,Randomized,1.0
5436,12,0.0,Naive,1.0
5437,12,0.1,Randomized,1.0
5438,12,0.0,Naive,1.0
5439,12,0.1,Randomized,1.0
5440,12,0.0,Naive,1.0
5441,12,0.1,Randomized,1.0
5442,12,0.0,Naive,1.0
5443,12,0.1,Randomized,1.0
5444,12,0.0,Naive,1.0
5445,12,0.1,Randomized,1.0
5446,12,0.0,Naive,1.0
5447,12,0.1,Randomized,1.0
5448,12,0.0,Naive,1.0
5449,12,0.1,Randomized,1.0
5450,12,0.0,Naive,1.0
5451,12,0.1,Randomized,1.0
5452,12,0.0,Naive,1.0
5453,12,0.1,Randomized,1.0
5454,12,0.0,Naive,1.0
5455,12,0.1,Randomized,1.0
5456,12,0.0,Naive,1.0
5457,12,0.1,Randomized,1.0
5458,12,0.0,Naive,1.0
5459,12,0.1,Randomized,1.0
5460,12,0.0,Naive,1.0
5461,12,0.1,Randomized,1.0
5462,12,0.0,Naive,1.0
5463,12,0.1,Randomized,1.0
5464,12,0.0,Naive,1.0
5465,12,0.1,Randomized,1.0
5466,12,0.0,Naive,1.0
5467,12,0.1,Randomized,1.0
5468,12,0.0,Naive,1.0
5469,12,0.1,Randomized,1.0
5470,12,0.0,Naive,1.0
5471,12,0.1,Randomized,1.0
5472,12,0.0,Naive,1.0
5473,12,0.1,Randomized,1.0
5474,12,0.0,Naive,1.0
5475,12,0.1,Randomized,1.0
5476,12,0.0,Naive,1.0
5477,12,0.1,Randomized,1.0
5478,12,0.0,Naive,1.0
5479,12,0.1,Randomized,1.0
5480,12,0.0,Naive,1.0
5481,12,0.1,Randomized,1.0
5482,12,0.0,Naive,1.0
5483,12,0.1,Randomized,1.0
5484,12,0.0,Naive,1.0
5485,12,0.1,Randomized,1.0
5486,12,0.0,Naive,1.0
5487,12,0.1,Randomized,1.0
5488,12,0.0,Naive,1.0
5489,12,0.1,Randomized,1.0
5490,12,0.0,Naive,1.0
5491,12,0.1,Randomized,1.0
5492,12,0.0,Naive,1.0
5493,12,0.1,Randomized,1.0
5494,12,0.0,Naive,1.0
5495,12,0.1,Randomized,1.0
5496,12,0.0,Naive,1.0
5497,12,0.1,Randomized,1.0
5498,12,0.0,Naive,1.0
5499,12,0.1,Randomized,1.0
5500,12,0.0,Naive,1.0
5501,12,0.1,Randomized,1.0
5502,12,0.0,Naive,1.0
5503,12,0.1,Randomized,1.0
5504,12,0.0,Naive,1.0
5505,12,0.1,Randomized,1.0
5506,12,0.0,Naive,1.0
5507,12,0.1,Randomized,1.0
5508,12,0.0,Naive,1.0
5509,12,0.1,Randomized,1.0
5510,12,0.0,Naive,1.0
5511,12,0.1,Randomized,1.0
5512,12,0.0,Naive,1.0
5513,12,0.1,Randomized,1.0
5514,12,0.0,Naive,1.0
5515,12,0.1,Randomized,1.0
5516,12,0.0,Naive,1.0
5517,12,0.1,Randomized,1.0
5518,12,0.0,Naive,1.0
5519,12,0.1,Randomized,1.0
5520,12,0.0,Naive,1.0
5521,12,0.1,Randomized,1.0
5522,12,0.0,Naive,1.0
5523,12,0.1,Randomized,1.0
5524,12,0.0,Naive,1.0
5525,12,0.1,Randomized,1.0
5526,12,0.0,Naive,1.0
5527,12,0.1,Randomized,1.0
5528,12,0.0,Naive,1.0
5529,12,0.1,Randomized,1.0
5530,12,0.0,Naive,1.0
5531,12,0.1,Randomized,1.0
5532,12,0.0,Naive,1.0
5533,12,0.1,Randomized,1.0
5534,12,0.0,Naive,1.0
5535,12,0.1,Randomized,1.0
5536,12,0.0,Naive,1.0
5537,12,0.1,Randomized,1.0
5538,12,0.0,Naive,1.0
5539,12,0.1,Randomized,1.0
5540,12,0.0,Naive,1.0
5541,12,0.1,Randomized,1.0
5542,12,0.0,Naive,1.0
5543,12,0.1,Randomized,1.0
5544,12,0.0,Naive,1.0
5545,12,0.1,Randomized,1.0
5546,12,0.0,Naive,1.0
5547,12,0.1,Randomized,1.0
5548,12,0.0,Naive,1.0
5549,12,0.1,Randomized,1.0
5550,12,0.0,Naive,1.0
5551,12,0.1,Randomized,1.0
5552,12,0.0,Naive,1.0
5553,12,0.1,Randomized,1.0
5554,12,0.0,Naive,1.0
5555,12,0.1,Randomized,1.0
5556,12,0.0,Naive,1.0
5557,12,0.1,Randomized,1.0
5558,12,0.0,Naive,1.0
5559,12,0.1,Randomized,1.0
5560,12,0.0,Naive,1.0
5561,12,0.1,Randomized,1.0
5562,12,0.0,Naive,1.0
5563,12,0.1,Randomized,1.0
5564,12,0.0,Naive,1.0
5565,12,0.1,Randomized,1.0
5566,12,0.0,Naive,1.0
5567,12,0.1,Randomized,1.0
5568,12,0.0,Naive,1.0
5569,12,0.1,Randomized,1.0
5570,12,0.0,Naive,1.0
5571,12,0.1,Randomized,1.0
5572,12,0.0,Naive,1.0
5573,12,0.1,Randomized,1.0
5574,12,0.0,Naive,1.0
5575,12,0.1,Randomized,1.0
5576,12,0.0,Naive,1.0
5577,12,0.1,Randomized,1.0
5578,12,0.0,Naive,1.0
5579,12,0.1,Randomized,1.0
5580,12,0.0,Naive,1.0
5581,12,0.1,Randomized,1.0
5582,12,0.0,Naive,1.0
5583,12,0.1,Randomized,1.0
5584,12,0.0,Naive,1.0
5585,12,0.1,Randomized,1.0
5586,12,0.0,Naive,1.0
5587,12,0.1,Randomized,1.0
5588,12,0.0,Naive,1.0
5589,12,0.1,Randomized,1.0
5590,12,0.0,Naive,1.0
5591,12,0.1,Randomized,1.0
5592,12,0.0,Naive,1.0
5593,12,0.1,Randomized,1.0
5594,12,0.0,Naive,1.0
5595,12,0.1,Randomized,1.0
5596,12,0.0,Naive,1.0
5597,12,0.1,Randomized,1.0
5598,12,0.0,Naive,1.0
5599,12,0.1,Randomized,1.0
5600,12,0.0,Naive,1.0
5601,12,0.1,Randomized,1.0
5602,12,0.0,Naive,1.0
5603,12,0.1,Randomized,1.0
5604,12,0.0,Naive,1.0
5605,12,0.1,Randomized,1.0
5606,12,0.0,Naive,1.0
5607,12,0.1,Randomized,1.0
5608,12,0.0,Naive,1.0
5609,12,0.1,Randomized,1.0
5610,12,0.0,Naive,1.0
5611,12,0.1,Randomized,1.0
5612,12,0.0,Naive,1.0
5613,12,0.1,Randomized,1.0
5614,12,0.0,Naive,1.0
5615,12,0.1,Randomized,1.0
5616,12,0.0,Naive,1.0
5617,12,0.1,Randomized,1.0
5618,12,0.0,Naive,1.0
5619,12,0.1,Randomized,1.0
5620,12,0.0,Naive,1.0
5621,12,0.1,Randomized,1.0
5622,12,0.0,Naive,1.0
5623,12,0.1,Randomized,1.0
5624,12,0.0,Naive,1.0
5625,12,0.1,Randomized,1.0
5626,12,0.0,Naive,1.0
5627,12,0.1,Randomized,1.0
5628,12,0.0,Naive,1.0
5629,12,0.1,Randomized,1.0
5630,12,0.0,Naive,1.0
5631,12,0.1,Randomized,1.0
5632,12,0.0,Naive,1.0
5633,12,0.1,Randomized,1.0
5634,12,0.0,Naive,1.0
5635,12,0.1,Randomized,1.0
5636,12,0.0,Naive,1.0
5637,12,0.1,Randomized,1.0
5638,12,0.0,Naive,1.0
5639,12,0.1,Randomized,1.0
5640,12,0.0,Naive,1.0
5641,12,0.1,Randomized,1.0
5642,12,0.0,Naive,1.0
5643,12,0.1,Randomized,1.0
5644,12,0.0,Naive,1.0
5645,12,0.1,Randomized,1.0
5646,12,0.0,Naive,1.0
5647,12,0.1,Randomized,1.0
5648,12,0.0,Naive,1.0
5649,12,0.1,Randomized,1.0
5650,12,0.0,Naive,1.0
5651,12,0.1,Randomized,1.0
5652,12,0.0,Naive,1.0
5653,12,0.1,Randomized,1.0
5654,12,0.0,Naive,1.0
5655,12,0.1,Randomized,1.0
5656,12,0.0,Naive,1.0
5657,12,0.1,Randomized,1.0
5658,12,0.0,Naive,1.0
5659,12,0.1,Randomized,1.0
5660,12,0.0,Naive,1.0
5661,12,0.1,Randomized,1.0
5662,12,0.0,Naive,1.0
5663,12,0.1,Randomized,1.0
5664,12,0.0,Naive,1.0
5665,12,0.1,Randomized,1.0
5666,12,0.0,Naive,1.0
5667,12,0.1,Randomized,1.0
5668,12,0.0,Naive,1.0
5669,12,0.1,Randomized,1.0
5670,12,0.0,Naive,1.0
5671,12,0.1,Randomized,1.0
5672,12,0.0,Naive,1.0
5673,12,0.1,Randomized,1.0
5674,12,0.0,Naive,1.0
5675,12,0.1,Randomized,1.0
5676,12,0.0,Naive,1.0
5677,12,0.1,Randomized,1.0
5678,12,0.0,Naive,1.0
5679,12,0.1,Randomized,1.0
5680,12,0.0,Naive,1.0
5681,12,0.1,Randomized,1.0
5682,12,0.0,Naive,1.0
5683,12,0.1,Randomized,1.0
5684,12,0.0,Naive,1.0
5685,12,0.1,Randomized,1.0
5686,12,0.0,Naive,1.0
5687,12,0.1,Randomized,1.0
5688,12,0.0,Naive,1.0
5689,12,0.1,Randomized,1.0
5690,12,0.0,Naive,1.0
5691,12,0.1,Randomized,1.0
5692,12,0.0,Naive,1.0
5693,12,0.1,Randomized,1.0
5694,12,0.0,Naive,1.0
5695,12,0.1,Randomized,1.0
5696,12,0.0,Naive,1.0
5697,12,0.1,Randomized,1.0
5698,12,0.0,Naive,1.0
5699,12,0.1,Randomized,1.0
5700,12,0.0,Naive,1.0
5701,12,0.1,Randomized,1.0
5702,12,0.0,Naive,1.0
5703,12,0.1,Randomized,1.0
5704,12,0.0,Naive,1.0
5705,12,0.1,Randomized,1.0
5706,12,0.0,Naive,1.0
5707,12,0.1,Randomized,1.0
5708,12,0.0,Naive,1.0
5709,12,0.1,Randomized,1.0
5710,12,0.0,Naive,1.0
5711,12,0.1,Randomized,1.0
5712,12,0.0,Naive,1.0
5713,12,0.1,Randomized,1.0
5714,12,0.0,Naive,1.0
5715,12,0.1,Randomized,1.0
5716,12,0.0,Naive,1.0
5717,12,0.1,Randomized,1.0
5718,12,0.0,Naive,1.0
5719,12,0.1,Randomized,1.0
5720,12,0.0,Naive,1.0
5721,12,0.1,Randomized,1.0
5722,12,0.0,Naive,1.0
5723,12,0.1,Randomized,1.0
5724,12,0.0,Naive,1.0
5725,12,0.1,Randomized,1.0
5726,12,0.0,Naive,1.0
5727,12,0.1,Randomized,1.0
5728,12,0.0,Naive,1.0
5729,12,0.1,Randomized,1.0
5730,12,0.0,Naive,1.0
5731,12,0.1,Randomized,1.0
5732,12,0.0,Naive,1.0
5733,12,0.1,Randomized,1.0
5734,12,0.0,Naive,1.0
5735,12,0.1,Randomized,1.0
5736,12,0.0,Naive,1.0
5737,12,0.1,Randomized,1.0
5738,12,0.0,Naive,1.0
5739,12,0.1,Randomized,1.0
5740,12,0.0,Naive,1.0
5741,12,0.1,Randomized,1.0
5742,12,0.0,Naive,1.0
5743,12,0.1,Randomized,1.0
5744,12,0.0,Naive,1.0
5745,12,0.1,Randomized,1.0
5746,12,0.0,Naive,1.0
5747,12,0.1,Randomized,1.0
5748,12,0.0,Naive,1.0
5749,12,0.1,Randomized,1.0
5750,12,0.0,Naive,1.0
5751,12,0.1,Randomized,1.0
5752,12,0.0,Naive,1.0
5753,12,0.1,Randomized,1.0
5754,12,0.0,Naive,1.0
5755,12,0.1,Randomized,1.0
5756,12,0.0,Naive,1.0
5757,12,0.1,Randomized,1.0
5758,12,0.0,Naive,1.0
5759,12,0.1,Randomized,1.0
5760,12,0.0,Naive,1.0
5761,12,0.1,Randomized,1.0
5762,12,0.0,Naive,1.0
5763,12,0.1,Randomized,1.0
5764,12,0.0,Naive,1.0
5765,12,0.1,Randomized,1.0
5766,12,0.0,Naive,1.0
5767,12,0.1,Randomized,1.0
5768,12,0.0,Naive,1.0
5769,12,0.1,Randomized,1.0
5770,12,0.0,Naive,1.0
5771,12,0.1,Randomized,1.0
5772,12,0.0,Naive,1.0
5773,12,0.1,Randomized,1.0
5774,12,0.0,Naive,1.0
5775,12,0.1,Randomized,1.0
5776,12,0.0,Naive,1.0
5777,12,0.1,Randomized,1.0
5778,12,0.0,Naive,1.0
5779,12,0.1,Randomized,1.0
5780,12,0.0,Naive,1.0
5781,12,0.1,Randomized,1.0
5782,12,0.0,Naive,1.0
5783,12,0.1,Randomized,1.0
5784,12,0.0,Naive,1.0
5785,12,0.1,Randomized,1.0
5786,12,0.0,Naive,1.0
5787,12,0.1,Randomized,1.0
5788,12,0.0,Naive,1.0
5789,12,0.1,Randomized,1.0
5790,12,0.0,Naive,1.0
5791,12,0.1,Randomized,1.0
5792,12,0.0,Naive,1.0
5793,12,0.1,Randomized,1.0
5794,12,0.0,Naive,1.0
5795,12,0.1,Randomized,1.0
5796,12,0.0,Naive,1.0
5797,12,0.1,Randomized,1.0
5798,12,0.0,Naive,1.0
5799,12,0.1,Randomized,1.0
5800,12,0.0,Naive,1.0
5801,12,0.1,Randomized,1.0
5802,12,0.0,Naive,1.0
5803,12,0.1,Randomized,1.0
5804,12,0.0,Naive,1.0
5805,12,0.1,Randomized,1.0
5806,12,0.0,Naive,1.0
5807,12,0.1,Randomized,1.0
5808,12,0.0,Naive,1.0
5809,12,0.1,Randomized,1.0
5810,12,0.0,Naive,1.0
5811,12,0.1,Randomized,1.0
5812,12,0.0,Naive,1.0
5813,12,0.1,Randomized,1.0
5814,12,0.0,Naive,1.0
5815,12,0.1,Randomized,1.0
5816,12,0.0,Naive,1.0
5817,12,0.1,Randomized,1.0
5818,12,0.0,Naive,1.0
5819,12,0.1,Randomized,1.0
5820,12,0.0,Naive,1.0
5821,12,0.1,Randomized,1.0
5822,12,0.0,Naive,1.0
5823,12,0.1,Randomized,1.0
5824,12,0.0,Naive,1.0
5825,12,0.1,Randomized,1.0
5826,12,0.0,Naive,1.0
5827,12,0.1,Randomized,1.0
5828,12,0.0,Naive,1.0
5829,12,0.1,Randomized,1.0
5830,12,0.0,Naive,1.0
5831,12,0.1,Randomized,1.0
5832,12,0.0,Naive,1.0
5833,12,0.1,Randomized,1.0
5834,12,0.0,Naive,1.0
5835,12,0.1,Randomized,1.0
5836,12,0.0,Naive,1.0
5837,12,0.1,Randomized,1.0
5838,12,0.0,Naive,1.0
5839,12,0.1,Randomized,1.0
5840,12,0.0,Naive,1.0
5841,12,0.1,Randomized,1.0
5842,12,0.0,Naive,1.0
5843,12,0.1,Randomized,1.0
5844,12,0.0,Naive,1.0
5845,12,0.1,Randomized,1.0
5846,12,0.0,Naive,1.0
5847,12,0.1,Randomized,1.0
5848,12,0.0,Naive,1.0
5849,12,0.1,Randomized,1.0
5850,12,0.0,Naive,1.0
5851,12,0.1,Randomized,1.0
5852,12,0.0,Naive,1.0
5853,12,0.1,Randomized,1.0
5854,12,0.0,Naive,1.0
5855,12,0.1,Randomized,1.0
5856,12,0.0,Naive,1.0
5857,12,0.1,Randomized,1.0
5858,12,0.0,Naive,1.0
5859,12,0.1,Randomized,1.0
5860,12,0.0,Naive,1.0
5861,12,0.1,Randomized,1.0
5862,12,0.0,Naive,1.0
5863,12,0.1,Randomized,1.0
5864,12,0.0,Naive,1.0
5865,12,0.1,Randomized,1.0
5866,12,0.0,Naive,1.0
5867,12,0.1,Randomized,1.0
5868,12,0.0,Naive,1.0
5869,12,0.1,Randomized,1.0
5870,12,0.0,Naive,1.0
5871,12,0.1,Randomized,1.0
5872,12,0.0,Naive,1.0
5873,12,0.1,Randomized,1.0
