tau=0.025,tau=0.05,tau=0.1,tau=0.25,tau=0.5,tau=1,tau=5,naive
0.21424592596159253,0.7304115514096052,0.9806850728671098,0.9542653906869646,0.6496475307132872,0.8389131918274684,0.6059829871397145,0.002337859034117762
0.39029373918407684,0.09628087205773429,0.6035746366042665,0.8610032439280353,0.9512915797050334,0.5350841020896692,0.2726223228189202,2.8113039521548977e-05
0.679822711133199,0.9407012236883988,0.11105446701498538,0.07413555510328168,0.19463807508840972,0.027828154512574563,0.3492003758474194,7.998185813651304e-08
0.8661531193715044,0.3812095262222825,0.6717350835291866,0.20200805547328393,0.2678801189778003,0.21448237609758777,0.9248835044562578,2.7607580637356577e-05
0.9207190764085594,0.47198627665004833,0.3548167075746533,0.35203543311798186,0.15159144869063587,0.9680706325401043,0.9982082800529052,0.01882030381536748
0.21500739072933936,0.18976436777201566,0.9703030659822712,0.5014331466545785,0.48420036418237283,0.5654725049931726,0.17562002347513564,1.0880076884434153e-05
0.1496838837580993,0.8761959179095816,0.6386148873396225,0.9395131426491334,0.46737104239942506,0.6706085362168582,0.7114002562188941,2.4627729010573418e-05
0.4164887301022778,0.12056993243496304,0.7309593050298071,0.8984503191835724,0.7021997616864448,0.32472254238075937,0.9343854155165116,1.771035279096722e-06
0.9352739402244487,0.8509672838803419,0.40885023214092114,0.9729200787078456,0.8029403134160319,0.4810581091612926,0.5568703192801907,0.0008456855618211856
0.5835629840842301,0.7558811985453562,0.2392968208329355,0.2726303072519322,0.498379737345793,0.14234656188686728,0.07060664547873464,9.587423865475841e-06
0.31568094521555745,0.827706705922733,0.737131174578079,0.6998083653310082,0.25354644070835564,0.32210544791652573,0.050750651533376254,0.000859432468478416
0.9567045351693728,0.6187860179129749,0.40220501573012973,0.9227656253711398,0.7373956106378247,0.7434762322895748,0.47404280689217626,0.00012129421122020201
0.15678068503071071,0.2373015421323841,0.3934224668817772,0.4327416644310028,0.701438611799595,0.8688891540964487,0.0042362004259863415,0.00014789438123485876
0.23777621613903027,0.584463136377168,0.44164877067345615,0.6053417939997412,0.28722541156549364,0.2015827172119813,0.467987387595479,0.009825128073744027
0.04054611217452742,0.8564537707205646,0.02759097522268223,0.1938484193522805,0.39406876169064065,0.49581701370332887,0.8921880031456669,0.0002850400656564389
0.7815600689734711,0.4642723468575331,0.9185593656233144,0.9112147554539952,0.31514061438489777,0.19514916596670245,0.4686987868341145,4.641474434863291e-05
0.867913685953015,0.42902791451877875,0.17709507926593474,0.6587221363308547,0.31017538963555635,0.2926804681950197,0.23596070455410378,0.0005885962416662949
0.6448063101364752,0.8395412739416361,0.6661079625438908,0.9991660115059282,0.4441608203867534,0.15906131057309286,0.4304492329163777,0.019274591498920413
0.6507954362247305,0.829754780348997,0.1495546627546284,0.5179943318584237,0.04538786485435597,0.11620462640861685,0.24033270386659467,0.0008623346924999664
0.5957107488380367,0.14470011767297797,0.6740690496255106,0.5522244814089324,0.9476152717116016,0.051631221560638534,0.4504285980560031,0.0010458696402955159
0.7465469665954352,0.8647202826920194,0.6026938307027842,0.045691841742422086,0.8512711236336808,0.07821854729965193,0.06074712983123671,1.4468321746452517e-05
0.19509830216999946,0.4622527501761023,0.5706668433641422,0.5929281976351358,0.37658562908855214,0.09483290717680169,0.08113684922132952,0.0031010338187204
0.8969605525823939,0.8552885807551663,0.7146373478764044,0.6918146278168691,0.5415051666204181,0.667369912986507,0.9935136290495751,2.0220694241235293e-07
0.3885910687136139,0.5679090883102454,0.5417023920220478,0.019061942277090002,0.7984376012357001,0.23593184991889063,0.0077500961732458965,0.00024132606014748426
0.9763249364925946,0.624350057289557,0.19723585024320675,0.05957165249762017,0.36237863553197164,0.7907223119422904,0.7316605527283639,4.1376282300387146e-07
0.22131570453326452,0.17976895244962832,0.04420674464011951,0.4948790495222587,0.869130693673945,0.7244648283209525,0.6936724688572913,3.732142261902993e-07
0.6895821531251101,0.2941440472798837,0.6111247849511443,0.016996830180060627,0.7708940462080223,0.4395811704817305,0.7358606727983924,5.902513007804977e-05
0.8537923343463127,0.3227133656247575,0.09070495987480032,0.763887742819538,0.09661664416110559,0.19893626986149204,0.19705052380105476,4.827657343220437e-05
0.3607277312129865,0.7836806018282682,0.11280876690098646,0.6317583552054735,0.6934130257132411,0.035337794879000226,0.4513084535904444,2.774287410911569e-08
0.07196985678710105,0.057248564874117426,0.08504378338909908,0.29366418101162267,0.4357512844949082,0.947262993760044,0.0938136011067351,2.9721436534124734e-08
,0.15687042636501747,0.08538491268430011,0.17179735399412624,0.5667491624042242,0.025822353937990275,0.7432483885934907,0.0070911607683548095
0.7236232765011844,0.49402058129148335,0.3284788985204986,0.2680847518365061,0.7001530725828279,0.5751561491621825,0.3903588320036212,5.882479205909785e-05
0.4072498977378036,0.49132563825147535,0.5633995131897864,0.190483402022951,0.029931559346971726,0.5945316001832442,0.29223662536374073,0.0007957857022472536
0.9140833359131029,0.18329097677658157,0.2764794965815073,0.7268165495036693,0.597466629943224,0.47082889493106245,0.4659419874155676,0.006761007779570782
0.6343654876314594,0.33549030415180275,0.45275966443348953,0.5335321155305391,0.1644641529410938,0.23014152066238008,0.8395342899386128,0.0025730572606593727
0.043407921402226636,0.971984002692297,0.9179504436355326,0.29157343352717985,0.7611114391384655,0.4456141804746285,0.28825820284600545,0.016332321234093672
0.6376788458220138,0.5285145012215569,0.24881150579234831,0.6116388483589303,0.6088066560190646,0.26402597210464734,0.43724797964256273,5.6927021798713895e-05
0.37445431707977733,0.6160494650231991,0.9993490240379262,0.5969611946573535,0.4804860808043456,0.47602660328647944,0.05588318564422111,6.554362804389591e-06
0.6335962333629703,0.09144109321404534,0.03877972498437896,0.07121671584440475,0.501367324648582,0.7126732692880678,0.841645372927179,0.004040662669258732
0.48440550493495277,0.10990543494875202,0.23729093102595117,0.7588598414622475,0.31537307998411246,0.8508333924500154,0.7012909000742236,0.0005490038223683325
0.9601186013873515,0.3034048362098358,0.4158546540233632,0.09569511220358028,0.11405637463261685,0.2423076993577952,0.9845683539858321,7.63846962330561e-05
0.29442154736855985,0.6601040578991955,0.7867693166555308,0.5686323076306303,0.006579464205961831,0.26194985488911854,0.08194627478112017,8.453503359984182e-06
0.795866260103914,0.7647668402621578,0.6696061600857871,0.11879129913059033,0.2797850422338475,0.9766110510174596,0.9984427622474626,3.110965337671523e-06
0.8516123190015822,0.7925530573642044,0.8503555102293644,0.3229902444407927,0.5311756681728355,0.8299747098247171,0.6596053945449428,0.0006940923534677346
0.9211618327632364,0.08838159774914753,0.37634243392763417,0.22315116828549822,0.05808860672637524,0.9826787400447948,0.6654138731222042,5.715120383742445e-05
0.14490006966798621,0.29072770836851336,0.934004176849533,0.3445039471117215,0.3114080105232548,0.9267382408176729,0.16567531754707224,2.3521145274818522e-06
0.8138775345294686,0.8092530337515492,0.7903746651538673,0.38745462106299405,0.4845345212135755,0.11669982054288865,0.7963342916018258,0.004891893226782851
0.5244883442079503,0.34791392443583685,0.8938559270865291,0.4438970549869191,0.8520237000157382,0.6025383608285623,0.8983264728810131,2.7473758359097822e-05
0.4817442398891607,0.7661914353051026,0.09437889933709447,0.33967214315895283,0.9281287044906988,0.7421814753547299,0.47320810810175207,1.0419908964998115e-05
0.7609209677933525,0.7464947136473905,0.4766764986449519,0.23409084271687178,0.9811936518212714,0.7646386791944922,0.4623168215623553,6.41757337029869e-05
0.4725097797524418,0.4492342261684462,0.4766863994393102,0.6600971892086351,0.6230569141820124,0.8587599095793447,0.801040002223244,0.001411697114068411
0.15024865742403615,0.3145155572194297,0.4831031895110646,0.8962962338049348,0.056178009227227786,0.9318756775176614,0.5335617403850184,3.7082495971674234e-06
0.7864174223336259,0.8110720308419775,0.5278089925802383,0.829975755870547,0.676197130620082,0.9577278627161346,0.4183138297234121,0.0001491298581459688
0.5545620058600914,0.3438420283367306,0.351670845843564,0.021746329348146094,0.9458401152026249,0.5547450073792899,0.4463393997936305,0.001056784713673431
0.6041183924074819,0.5142905953089371,0.7895412493439992,0.3659918916674204,0.6574472889160815,0.8317698049628681,0.06689276958428551,1.2225843254443092e-05
0.9393147257386154,0.27985759203693467,0.8193129568972997,0.9426953921046425,0.866342179762394,0.9396201400950523,0.9254659664458824,7.04802903211954e-05
0.8240432485406065,0.5499000581476388,0.9431551161452048,0.16861361767603286,0.1712436433951827,0.7398875481173173,0.8345617097778694,0.0005541721627095875
0.054646141326683925,0.39649268640917285,0.6952295415269488,0.952284323364277,0.1397076496162223,0.5086857543542649,0.12098182489068443,3.889096287712501e-05
0.105377838147968,0.9334999542761602,0.016557807818341288,0.5174726760135892,0.5880958430440328,0.19388546258177974,0.3148309693445401,7.013398583000097e-07
0.7951269476492655,0.4931800195932814,0.9004945275886076,0.07166339343441414,0.23600060969855724,0.2489137885011122,0.8147570341379411,0.0001893060091521237
0.551199183453469,0.36494911672331326,0.636238171896713,0.8947077738804075,0.595807762475219,0.6719980021950941,0.1793055558969372,0.00032452282569161994
0.47559815572897435,0.2583606011791535,0.7390948090868419,0.7949313533543008,0.7555458867285124,0.4193924824419226,0.9723624485808131,1.7822064831918283e-05
0.3473467082253861,0.473916945060751,0.5555670936195161,0.1682984204889153,0.7989807644834602,0.43450878936191456,0.5744084753680537,4.3179269837434475e-07
0.6846465122282187,0.6137921572581445,0.0681833201786184,0.0655977232657454,0.20095898307208396,0.0950908083743208,0.9094049090914783,1.8687253539040327e-05
0.8746004488542722,0.7095855067851521,0.6912432789760986,0.8329482831597735,0.53996942151765,0.5901817474619566,0.5079814322101267,0.003979536597873978
0.5764126564692623,0.8838063101785062,0.4745984098692675,0.08374194996578828,0.778922755357144,0.5306314912357681,0.07612090209297785,0.0017647374425735496
0.26952311734946005,0.36553487532808415,0.0405690637369132,0.4021827525925438,0.7427179747899403,0.8987977442241059,0.427586717226917,0.010243247098509767
0.2529104059849853,0.5052380274911944,0.8908929957085299,0.9458444208391837,0.462614377254031,0.43331596265834393,0.31453082177773967,0.0013639420499491628
0.4669836609893911,0.3201545818639446,0.8468343553583937,0.9811104288508515,0.38752493634188184,0.250751944188709,0.6438643793191208,2.8447479372140094e-07
0.29503116879252506,0.7267853208422371,0.7625293415482861,0.5106495986160404,0.11188590640368944,0.5170371491304113,0.004658623568911681,0.00023774662551978576
0.9309419128404303,0.2759842003830046,0.1221930508161058,0.9296456710360835,0.09696804569746288,0.015343025694793812,0.49693695580175173,1.0431009135780656e-05
0.16525596334156287,0.046595187259049285,0.809781954382107,0.4245623782002699,0.10635714429487142,0.3787901080867197,0.8311023685532649,3.845722251760719e-08
0.6033818780025079,0.4173101307813329,0.6709331456362685,0.020214818824690835,0.3982380076040083,0.7703267680896749,0.14986099813688336,0.0003886883830235277
