Gao (sigma_all),Gao (sigma_clustered),Barber
0.9457761879780808,0.7605172563463684,0.2577431804063033
0.9261936737014191,0.20772811087754775,0.29534570221947953
0.6571320199593259,0.0951739443438318,0.0804448585741022
0.33428841258936326,0.4192494851932846,0.3008191239941394
0.6532910841211556,0.5383325164014446,0.9290072789720499
