tau,delta,effect_size,reject,method
NA,5.0,2.0323626260622905,0,Barber
NA,5.0,2.1028280378618516,1,Barber
NA,5.0,1.8380657825024966,0,Barber
NA,5.0,2.3907497638646427,1,Barber
NA,5.0,1.8790431811941635,1,Barber
NA,5.0,2.093181429964034,1,Barber
NA,5.0,2.2589924051393298,0,Barber
NA,5.0,2.2908946634853615,1,Barber
NA,5.0,1.9835228489649037,0,Barber
NA,5.0,2.114684323560395,1,Barber
NA,5.0,2.3148861081091905,1,Barber
NA,5.0,2.0258912573490377,0,Barber
NA,5.0,2.128462981825759,0,Barber
NA,5.0,2.0901195837333724,1,Barber
NA,5.0,1.889288885700586,0,Barber
NA,5.0,2.0760461551170066,0,Barber
NA,5.0,2.0382622981009226,1,Barber
NA,5.0,2.0034714164215552,0,Barber
NA,5.0,2.04838318134384,1,Barber
NA,5.0,1.8722545571227152,0,Barber
NA,20.0,2.3849533921486965,1,Barber
NA,20.0,2.3426343115061092,1,Barber
NA,20.0,2.4161967729162157,1,Barber
NA,20.0,2.38034451858207,1,Barber
NA,20.0,2.3866713861829427,1,Barber
NA,20.0,2.326162304379535,1,Barber
NA,20.0,2.393534714476368,1,Barber
NA,20.0,2.431884377707587,1,Barber
NA,20.0,2.4400426963076103,1,Barber
NA,20.0,2.3498802932557394,1,Barber
NA,20.0,2.3910796928622413,1,Barber
NA,20.0,2.380498617240306,1,Barber
NA,20.0,2.3691663994981855,1,Barber
NA,20.0,2.3916626305911914,1,Barber
NA,20.0,2.420274062310896,1,Barber
NA,20.0,2.4643657995622332,1,Barber
NA,20.0,2.3866474344469286,1,Barber
NA,20.0,2.4174023062019616,1,Barber
NA,20.0,2.40555651901069,1,Barber
NA,20.0,2.3810439123821405,1,Barber
