tau=0.01,tau=0.05,tau=0.1,tau=0.5,tau=1,tau=5,naive
0.21695825859285642,0.6390126090948611,0.17775824037852594,0.04751429337294029,0.20802638024249648,0.42462101399564034,0.001900996220523199
0.5417975625612006,0.5115639403905113,0.8934753640303531,0.5596439316977886,0.6936205293033977,0.7757135467423065,4.743142280483337e-05
0.1347334657179403,0.41716839674870615,0.4142869146710059,0.9727213145382574,0.40831888761034735,0.3991126274521998,0.02264783109945867
0.4902024613647945,0.33506846751830394,0.13012162095440313,0.05407865664909056,0.6804259978141265,0.31757578410316467,0.0005909277049882533
0.908672968248257,0.7500382881417113,0.5204225008925234,0.5332569677142504,0.8886647251336891,0.1802111406626893,1.2128410753486918e-07
0.16800590771800644,0.20753534013950883,0.5715272636014772,0.5154928239959009,0.610984443480171,0.6016787851570295,8.626644445552945e-05
0.5286253328477902,0.05949568100879087,0.10383523393903814,0.32584370764441384,0.08631681765162422,0.14991354869358434,0.006520578863248194
0.3575797720777416,0.20211681038659526,0.6646503704259245,0.8839184492291411,,0.1097666057077988,5.4488092086524276e-05
0.5705854587367676,0.09314071586037904,0.9879664712958565,0.9564125615925688,0.7959788535617711,0.8313531100541985,0.15862941317819546
0.16539065064392675,0.6372175578028996,0.700248799655459,0.82195154663613,0.16449583084278085,0.24521168940059282,8.050792588143452e-09
0.11813986119283162,0.7184203029435945,0.8015707813204207,0.5063652930140988,0.36991619821692595,0.8556694318514437,0.0026316651295249516
0.7788657554567555,0.7732912342908568,0.21049420812961234,0.7938389462038425,0.04903824458029464,0.460291220956879,1.9670766006063545e-06
0.32456974091944407,0.9967337286020926,0.9851186465348645,0.0538753564066216,0.4320980925820432,0.28113278627288596,1.1441967958325527e-05
0.05597602367911635,0.18355327875242297,0.37722980387707183,0.1865475310101149,0.46262100746959267,0.39988027655781044,5.959610505423818e-06
0.32205867926272397,0.20187322552271475,0.7277269450991438,0.024177723920266053,0.8466895396205782,0.6228190665210402,0.0007439796958931266
0.47138674167651295,0.9852193671064529,0.8449082752934542,0.46186073000320654,0.6081574269550931,0.20073140628151956,0.006956410189753459
0.3062638161824287,0.22289590309600518,0.6601657880337286,0.99545835217931,0.12838001447710937,0.9745477531077903,0.00021729548618709682
0.9301049907513039,0.9557631523968887,0.3450133736255077,0.4305866798979128,0.38712457173567627,0.7550725885937742,1.6153518130890276e-06
0.3768575473162761,0.30635373825494605,0.2581530270464193,0.9719331734800881,0.7331775003589006,0.7341752545342698,0.00218245085597335
0.6819067136817109,0.36335168926174255,0.6059017533299339,0.9261804244513151,0.7948879785989826,0.4654817042824913,0.0006339179983981813
0.9898136235086777,0.8513316410039853,0.6985584132255102,0.7308561138485613,0.949843156611341,0.36762015110621526,1.6116361478468733e-05
0.2204012539549988,0.48367693910278287,0.40490875738334164,0.13416908424421337,0.9816746806276128,0.5040411613235118,4.995704770305309e-05
