Gao,Barber
0.37212486040670006,0.2049793277980904
0.4198962525847994,0.06901856260714204
0.3243000157958507,0.35271506078117987
0.6721105975166805,0.9744706675325376
0.10257481135728116,0.08320229441938014
0.7198851007639978,0.29021379823072657
0.06496275841813537,0.4697313951895918
0.25297308943819147,0.6914756028453416
0.880432168233485,0.14295778456107658
0.9613689372966187,0.32872151192114507
0.7213983953057694,0.7545649387483864
0.04819305413914854,0.2379283730424275
0.8358348144423454,0.39921347618787334
0.4183571902890333,0.4967294469463595
0.5145635360706108,0.3233413506781803
0.29570322357707984,0.6786387119855578
0.3989244725762137,0.4422937543795639
0.7922029930844438,0.7219238722662541
0.7868135411140674,0.13319931915535713
0.5818285612666787,0.9868691137480111
0.6039059089956532,0.7053637863994451
0.4089803960965054,0.6582462450614928
0.6712827892849702,0.8715208717577936
0.3952658653057838,0.8923186943206912
0.5770977857009295,0.5066179025231422
0.4040427696109469,0.4248387699924217
0.6176446122127999,0.5309442069731239
0.615194799937195,0.0332353616638354
0.5887548738132081,0.8180491857696869
0.33819536674453643,0.5561331166782114
0.9715421766334384,0.45378292251661384
0.2824220121947233,0.5326109161412281
0.15857048342371435,0.8383869353413524
0.1748158438190887,0.43174629004777915
0.9226483527654606,0.8146652773246403
0.9728227761359894,1.0
0.18346186226263764,0.3010580813456316
0.7120912823104761,0.8990316233121416
0.3511722838460534,0.013439246521842769
0.8044123855991605,0.5862955731789962
0.5400314082613412,0.9629121419710597
0.03665400470132262,0.6022490663143103
0.6777490617867218,0.5445844849165145
0.23220151111453965,0.5639906298564858
0.8659365846819875,0.5799205106046581
0.8070481703988586,0.4883179016501578
0.5624955760702343,0.8980359689992478
0.20450129700199893,0.04289027722339336
0.5836507951899239,0.7668831793977587
0.005568896436266269,0.7505627151101046
0.7595529847825446,0.05139710548421639
0.793912002706028,0.6698846128674947
0.3516928597063507,0.71893451068915
0.8789452264939603,0.013404825726808714
0.6548067303885013,0.32880269803548123
0.984291379505684,0.024842198310485106
0.4837481355228969,0.041999160946692926
0.7265372985393495,0.5483650345664102
0.08983436539628246,0.2271820672718699
0.7127688689120179,0.10514198756853828
0.15074331439282254,0.4317944677906958
0.6470307543173579,0.853628733349678
0.24499125632387353,0.22368332425628262
0.5632346758558294,0.2474322292625129
0.44677265956843487,0.324935163329082
0.7235435711077582,0.14919039866504227
0.3061867893300119,0.9017815255745364
0.2975574012743213,0.652271238862653
0.9333239983692931,0.3537635539949251
0.47573507085949,0.7729432868277227
0.19677240933016252,0.9339560802800981
0.40142816702797074,0.5977124180470906
0.41022848926236244,0.3367621762668082
0.49676905275610833,0.6789840620259461
0.9866491699291305,0.7718790414174582
0.24239269188327658,0.6641322678355748
0.36943381396331426,0.7397818693634017
0.6598701432718707,0.19146535422223313
0.08425250141595166,0.7855692976795913
0.9943647805906968,0.041535190961583174
0.7667249348123368,0.6241593041180811
0.9125434063451272,0.48613968757343395
0.9398662665616395,0.047158156439369214
0.7102881743561137,0.11962533117666091
0.8396478418277556,0.026646725050591475
0.02133179200283554,0.6717078786238273
0.22372253944310824,0.6876516466878483
0.9714103854680453,0.9067928075268921
0.4070710955318018,0.7747743123774063
0.5323897933819033,0.8948226330892375
0.0331410800200257,0.8251894410488502
0.9248298475651464,0.9003221696593283
0.8776671002512885,0.5142334937290945
0.010939685593885105,0.26030899908206445
0.8987431368174399,0.9561780003349445
0.21685211732448928,0.5044932039724421
0.4741961003028396,0.24923229686125742
0.903104000701371,0.26431937787474724
0.5190326766001705,0.27609085064026745
0.5590058954575715,0.4877239521202973
0.19977421156170952,0.5324161226243799
0.4843383811841968,0.738283411875599
0.3527562620564352,0.446666245918313
0.2432335960490119,0.19734781886222758
0.622239275908854,0.2678916129930113
0.9693682717310513,0.13669907925354466
0.07024088805797787,0.051466042346513335
0.8019063969991022,0.3198023237203383
0.12175485007828882,0.9368802216021201
0.9137181580300778,0.4929756754646415
0.4625804871198206,0.8717733529598375
0.3599179945053315,0.5944249988343768
0.2851684956351016,0.8968288734575233
0.855572167989738,0.7774860647730385
0.4020741301846154,0.23195204269556174
0.7758136726481739,0.017360444391499988
0.13962971898835577,0.9387328613238005
0.041442782761822304,1.0
0.15826028853121635,0.9730157360045948
0.47289680770302917,0.24982053387086953
0.10076994047752917,0.6871185005136107
0.19201590539716254,0.5694907203343863
0.054732592779140464,0.0726727362507359
0.21983774184746308,0.038949013793086566
0.25732002460611875,0.5153413380014426
0.7748788125637117,0.2242116639140249
0.15869541470507004,0.7094743744184131
0.7312149984769839,0.2473578009442954
0.822526879779203,0.21030136611614406
0.7962965376649495,0.1091792619877716
0.772414786932824,0.054981277371360375
0.6339397438141389,0.5067487856936278
0.3990836225638868,0.1411562808060805
0.633805829894247,0.4044548002384755
0.8315411622650912,0.6547115795801777
0.6418574026386051,0.6003577359569737
0.467308547851205,0.9471443869397206
0.3035969292658264,0.5731727731553944
0.4733679250558248,0.40609052936630274
0.02573138574416758,0.6824595282147974
0.6310361763644007,0.922395895594105
0.43278313783753675,0.9624045029072935
0.5257959541320416,0.004163241323485077
0.32252453111894963,0.59622976534619
0.5954888886499298,0.34857626505505723
0.37642039684824735,0.5219397148061903
0.11092907798542807,0.22703315130928703
0.018258134478403017,0.786496078834715
0.9988120746903033,0.12381403802225815
0.8430456233168303,0.9484358980234664
0.593370000919451,0.9710064318954658
0.4289983217019982,0.38783719152905166
0.4329132564451943,0.4836938363107627
0.23805117170386472,0.5907776392424108
0.18805170039667557,0.9138514047490867
0.15492457818044084,0.6266127712389626
0.6509501012609561,0.27382479806936444
0.7098035642119301,0.5527274565268991
0.9308280634678875,0.7063524576724852
0.043830670533610616,0.733636323134278
0.24193102579172915,0.36603572708776416
0.15243942669531502,0.29974844373319914
0.13450312835722397,0.5795867996048741
0.01664859052291192,0.4163797191595663
0.6728171318216158,0.7290332761881549
0.8122812941639685,0.8207684273349668
0.02025800607969896,0.28674585937425223
0.4673228320555009,0.577456243267236
0.18268684568082502,0.38570414035910555
0.5603857318195843,0.07662546772542925
0.6458124480769495,0.7470303348414582
0.6491449445132186,0.8173265862476035
0.0110686199097315,0.7248514049221128
0.9730614339887403,0.2938991163402271
0.2898944586538416,0.921970958150922
0.420842014153893,0.8660019402306733
0.403468164618172,0.854946785375913
0.48802629184860763,0.4004213509769496
0.7380328910979995,0.3567564339691865
0.6469898931339659,0.9551041659394116
0.16657349502190572,0.6613461668560847
0.6310849254258727,0.39648045403752913
0.7350631335031249,0.2996995652682044
0.671215776988803,0.3856985671484253
0.0015917641322616832,0.20712648438056777
0.19865512175056563,0.011886810854665978
0.13005781093766464,0.30992518924813595
0.36071518212562836,0.515563028645282
0.4535134969598585,0.43596522849091834
0.011364107327528846,0.4137526674295502
0.7957463106845206,0.1557940083154387
0.7776382998504524,0.9575918516979529
0.46430505831310065,0.4009496187068002
0.6666359077106611,0.08039631428901123
0.137666119534761,0.9922980184902962
0.9237026715248071,0.6876816492957976
0.5661989925954919,0.6117085478601045
0.925650464487913,0.1842630020370977
0.5277035462280547,0.3485412007442991
0.33816459483562994,0.7618879079236395
0.7594318372977471,0.46825723621323345
0.9473165096698857,0.8893270461284578
0.3009531572862076,0.5148591217769528
0.5760069162652938,0.6692832214212106
0.0026426452180504036,0.48953363556848833
0.8998768779916277,0.7965102747502403
0.1453545504406394,0.590163246251917
0.5451309350437538,0.28531235929699694
0.5326934109094008,0.02506848641383722
0.9577566490960491,0.30128262020305363
0.4097489312635383,0.8016055186365236
0.015307249455745254,0.13839465234933143
0.7299415137702123,0.8198499626721859
0.050372478014836866,0.7735477825377075
0.7032445021951252,0.8170144643841328
0.9444394004410699,0.6058695696556152
0.9262699474976915,0.6563101540934395
0.4639677336170016,0.1008138240148729
0.9223517365111215,0.8615177744900372
0.22218210588878204,0.24948412193677708
0.785072598212075,0.25605462113767935
0.4591071774674263,0.959997976021247
0.15481801579077398,0.7769933456015335
0.6861666264167728,0.4534144201498189
0.40467108943824803,0.5073301956554458
0.9156814510794825,0.9579039425152406
0.8156580671887363,0.30588557918706505
0.4814546159027905,0.04728423365285786
0.8257384034600689,0.6738267970059183
0.23391713222824895,0.6831493272724102
0.8743175670572084,0.3675965564614811
0.634275579404989,0.14263581316187005
0.5034387395131504,0.16170979614126835
0.44602922627203,0.5108113098658001
0.7929463124443608,0.47033418074186134
0.9307754877555184,0.7616313806688694
0.8258417363149748,0.7962768772398888
0.17782959513561725,0.9288098936589279
0.5965572384594345,0.45334415238088305
0.6029453055277871,0.5672596563273827
0.9688367572426029,0.5911053749825695
0.1641367266321034,0.20466772365254712
0.01173897185034837,0.3615224906407525
0.7895269375102687,0.23968248150916607
0.7427778600898426,0.6511281939041204
0.08196704935644404,0.09701679557106122
0.36411091581728805,0.02574725626059622
0.23549660338256956,0.31614066102761446
0.7159329768761318,0.7435302819379533
0.7867113734571195,0.606266477403239
0.1108322989678762,0.7217186841212163
0.18570662184678186,0.8584865014967336
0.9655205670053785,0.11729961198477903
0.265064529728271,0.7147847465993676
0.24653063273949866,0.03744075012170364
0.9144020359428389,0.06138531401154837
0.08497777462914674,0.03549003938143343
0.13058814132226032,0.13112349784425117
0.08005984492948905,0.15479721319691384
0.9270990046379912,0.12315482089280354
0.2615793061012619,0.9324946090246623
0.505048665073626,0.3314031478424296
0.2923659580353956,0.09285680323257185
0.5081175427744387,0.4509873772804139
0.32112349239364313,0.06852326157008505
0.9509611942827998,0.9638636032423332
0.12671195099891738,0.06488492810324709
0.9609616651138134,0.47173247356812403
0.09163598465560208,0.35144732306308335
0.6785763209450729,0.4755635826940226
0.7851982101474899,0.3279687463522906
0.2949887277868486,0.9978795506158357
0.09607007043744735,0.01983880578597388
0.2573328843290729,0.9224793535100867
0.514676797166036,0.6558253755382223
0.13793327081342727,0.7041609790231469
0.5680749295143612,0.30306800186458627
0.09141475533597102,0.042909671291348414
0.12820890349352412,0.5934016691459526
0.6920288168806396,0.31637659095643517
0.6691406997200318,0.33977263347323244
0.35970886638783023,0.1994534089279209
0.6074016582311929,0.6588879851098481
0.21005531580739512,0.08065640594076369
0.20638400775664836,0.8665368112932157
0.4288025082633414,0.8958147017505946
0.5041091035292631,0.5121698124774755
0.35090562947693693,0.8991945787595373
0.010377343753457995,0.4664725978604061
0.5644059403887947,0.128345870124691
0.6069069410497975,0.44192732602262735
0.20137295122302198,0.8774979861113077
