tau,K_hat
naive,12
naive,8
naive,7
naive,8
naive,6
naive,10
naive,6
naive,11
naive,10
naive,8
naive,8
naive,7
naive,6
naive,5
naive,5
naive,9
naive,15
naive,5
naive,6
naive,8
naive,8
naive,7
naive,9
naive,6
naive,8
naive,10
naive,5
naive,4
naive,7
naive,8
naive,5
naive,9
naive,4
naive,9
naive,10
naive,4
naive,6
naive,6
naive,5
naive,6
naive,4
naive,7
naive,6
naive,6
naive,10
naive,7
naive,4
naive,7
naive,6
naive,5
naive,9
naive,8
naive,8
naive,5
naive,13
naive,9
naive,6
naive,7
naive,5
naive,7
naive,5
naive,8
naive,3
naive,8
naive,6
naive,10
naive,10
naive,8
naive,9
naive,8
naive,17
naive,4
naive,9
naive,4
naive,9
naive,9
naive,7
naive,5
naive,13
naive,10
naive,9
naive,7
naive,6
naive,8
naive,3
naive,11
naive,4
naive,4
naive,8
naive,12
naive,9
naive,7
naive,3
naive,6
naive,8
naive,15
naive,8
naive,6
naive,5
naive,7
0.01,16
0.01,1
0.01,1
0.01,18
0.01,15
0.01,8
0.01,14
0.01,6
0.01,16
0.01,16
0.01,17
0.01,1
0.01,11
0.01,16
0.01,1
0.01,1
0.01,12
0.01,13
0.01,19
0.01,18
0.01,13
0.01,13
0.01,17
0.01,13
0.01,10
0.01,17
0.01,22
0.01,1
0.01,8
0.01,18
0.01,1
0.01,1
0.01,1
0.01,1
0.01,6
0.01,16
0.01,14
0.01,11
0.01,11
0.01,16
0.01,8
0.01,14
0.01,4
0.01,15
0.01,1
0.01,15
0.01,12
0.01,10
0.01,7
0.01,15
0.01,16
0.01,7
0.01,17
0.01,7
0.01,14
0.01,1
0.01,16
0.01,1
0.01,15
0.01,10
0.01,11
0.01,8
0.01,1
0.01,1
0.01,8
0.01,1
0.01,8
0.01,12
0.01,22
0.01,1
0.01,16
0.01,1
0.01,1
0.01,18
0.01,1
0.01,15
0.01,10
0.01,1
0.01,15
0.01,1
0.01,16
0.01,13
0.01,14
0.01,11
0.01,1
0.01,1
0.01,11
0.01,9
0.01,14
0.01,12
0.01,14
0.01,12
0.01,13
0.01,1
0.01,1
0.01,1
0.01,17
0.01,17
0.01,19
0.01,12
0.05,1
0.05,1
0.05,1
0.05,1
0.05,1
0.05,1
0.05,1
0.05,1
0.05,1
0.05,1
0.05,1
0.05,1
0.05,1
0.05,1
0.05,1
0.05,1
0.05,1
0.05,1
0.05,1
0.05,1
0.05,1
0.05,1
0.05,1
0.05,1
0.05,1
0.05,1
0.05,1
0.05,1
0.05,1
0.05,1
0.05,1
0.05,1
0.05,1
0.05,28
0.05,1
0.05,1
0.05,1
0.05,1
0.05,1
0.05,1
0.05,1
0.05,1
0.05,1
0.05,1
0.05,1
0.05,1
0.05,1
0.05,1
0.05,1
0.05,1
0.05,5
0.05,1
0.05,1
0.05,24
0.05,1
0.05,1
0.05,1
0.05,1
0.05,5
0.05,1
0.05,1
0.05,1
0.05,1
0.05,1
0.05,1
0.05,1
0.05,1
0.05,1
0.05,1
0.05,1
0.05,1
0.05,1
0.05,1
0.05,1
0.05,1
0.05,1
0.05,1
0.05,1
0.05,1
0.05,1
0.05,1
0.05,1
0.05,6
0.05,1
0.05,1
0.05,1
0.05,1
0.05,1
