tau,delta,effect_size,reject,min_size>=10,method,linkage
NA,1.0,0.6785714285714285,0,0,Barber,average
NA,1.0,0.7,0,0,Barber,average
NA,1.0,0.75,0,0,Barber,average
NA,1.0,0.6785714285714285,0,0,Barber,average
NA,1.0,0.6931818181818181,0,0,Barber,average
NA,1.0,0.6944444444444444,1,0,Barber,average
NA,1.0,0.6699999999999999,0,0,Barber,average
NA,1.0,0.7215909090909091,0,1,Barber,average
NA,1.0,0.6993464052287581,0,0,Barber,average
NA,1.0,0.8571428571428571,0,0,Barber,average
NA,1.0,0.75,0,0,Barber,average
NA,1.0,0.6785714285714285,0,0,Barber,average
NA,1.0,0.6470588235294117,0,0,Barber,average
NA,1.0,0.7799999999999999,0,1,Barber,average
NA,1.0,0.71,0,0,Barber,average
NA,1.0,0.6833333333333332,0,0,Barber,average
NA,1.0,0.8333333333333333,0,0,Barber,average
NA,1.0,0.7692307692307692,0,1,Barber,average
NA,1.0,0.6875,0,0,Barber,average
NA,1.0,0.72,0,0,Barber,average
NA,1.0,0.6666666666666666,0,0,Barber,average
NA,1.0,0.6851851851851851,0,0,Barber,average
NA,1.0,0.7083333333333333,0,0,Barber,average
NA,1.0,0.6785714285714285,0,0,Barber,average
NA,1.0,0.7543859649122806,1,0,Barber,average
NA,1.0,0.6833333333333332,0,1,Barber,average
NA,1.0,0.6794871794871794,0,0,Barber,average
NA,1.0,0.64,0,0,Barber,average
NA,1.0,0.7028985507246376,0,0,Barber,average
NA,1.0,0.5555555555555556,0,0,Barber,average
NA,1.0,0.6507936507936508,0,0,Barber,average
NA,1.0,0.711111111111111,0,0,Barber,average
NA,1.0,0.6799999999999999,0,0,Barber,average
NA,1.0,0.65,0,0,Barber,average
NA,1.0,0.7320261437908496,0,0,Barber,average
NA,1.0,0.7142857142857142,0,0,Barber,average
NA,1.0,0.7051282051282051,1,0,Barber,average
NA,1.0,0.7142857142857142,0,0,Barber,average
NA,1.0,0.608695652173913,0,0,Barber,average
NA,1.0,0.7727272727272727,0,0,Barber,average
NA,1.0,0.6527777777777777,0,0,Barber,average
NA,1.0,0.7261904761904762,0,0,Barber,average
NA,1.0,0.7307692307692307,0,0,Barber,average
NA,1.0,0.7291666666666666,0,1,Barber,average
NA,1.0,0.6884057971014492,0,0,Barber,average
NA,1.0,0.6726190476190476,0,0,Barber,average
NA,1.0,0.72,0,0,Barber,average
NA,1.0,0.6249999999999999,0,0,Barber,average
NA,1.0,0.6666666666666666,0,0,Barber,average
NA,1.0,0.6851851851851851,0,0,Barber,average
NA,1.0,0.7,0,0,Barber,average
NA,1.0,0.625,0,0,Barber,average
NA,1.0,0.7727272727272727,0,0,Barber,average
NA,1.0,0.6818181818181818,0,1,Barber,average
NA,1.0,0.681159420289855,0,0,Barber,average
NA,1.0,0.6842105263157894,1,1,Barber,average
NA,1.0,0.7669172932330827,0,0,Barber,average
NA,1.0,0.6666666666666666,0,0,Barber,average
NA,1.0,0.6593406593406593,0,1,Barber,average
NA,1.0,0.7551020408163265,0,0,Barber,average
NA,1.0,0.6399999999999999,0,0,Barber,average
NA,1.0,0.6573426573426573,0,1,Barber,average
NA,1.0,0.625,0,0,Barber,average
NA,1.0,0.6802721088435374,0,0,Barber,average
NA,1.0,0.6599999999999999,0,0,Barber,average
NA,1.0,0.783625730994152,0,0,Barber,average
NA,1.0,0.6825396825396824,0,0,Barber,average
NA,1.0,0.6785714285714285,0,0,Barber,average
NA,1.0,0.625,0,0,Barber,average
NA,1.0,0.71,0,0,Barber,average
NA,1.0,0.6666666666666666,1,0,Barber,average
NA,1.0,0.6900584795321637,0,0,Barber,average
NA,1.0,0.75,0,0,Barber,average
NA,1.0,0.6666666666666666,0,0,Barber,average
NA,1.0,0.6590909090909091,0,0,Barber,average
NA,1.0,0.5,0,0,Barber,average
NA,1.0,0.7619047619047619,0,1,Barber,average
NA,1.0,0.7,0,0,Barber,average
NA,1.0,0.738095238095238,0,1,Barber,average
NA,1.0,0.7738095238095237,0,0,Barber,average
NA,1.0,0.728395061728395,0,0,Barber,average
NA,1.0,0.6959064327485379,0,0,Barber,average
NA,1.0,0.7272727272727272,0,0,Barber,average
NA,1.0,0.681159420289855,0,0,Barber,average
NA,1.0,0.7894736842105262,0,0,Barber,average
NA,1.0,0.6785714285714285,0,0,Barber,average
NA,1.0,0.7424242424242423,0,0,Barber,average
NA,1.0,0.7291666666666666,0,0,Barber,average
NA,1.0,0.8541666666666666,0,0,Barber,average
NA,1.0,0.7037037037037037,0,0,Barber,average
NA,1.0,0.6813186813186812,0,0,Barber,average
NA,1.0,0.7304347826086955,0,0,Barber,average
NA,1.0,0.7307692307692307,0,0,Barber,average
NA,1.0,0.7582417582417582,0,1,Barber,average
NA,1.0,0.73,0,0,Barber,average
NA,1.0,0.6538461538461539,0,0,Barber,average
NA,1.0,0.7037037037037036,0,0,Barber,average
NA,1.0,0.71,0,0,Barber,average
NA,1.0,0.7,0,0,Barber,average
NA,1.0,0.712121212121212,0,1,Barber,average
NA,1.0,0.6666666666666666,0,0,Barber,average
NA,1.0,0.6666666666666666,0,0,Barber,average
NA,1.0,0.7426470588235293,0,0,Barber,average
NA,1.0,0.7857142857142856,0,0,Barber,average
NA,1.0,0.6666666666666666,0,0,Barber,average
NA,1.0,0.6923076923076923,0,0,Barber,average
NA,1.0,0.7142857142857142,0,0,Barber,average
NA,1.0,0.25,0,0,Barber,average
NA,1.0,0.6499999999999999,0,0,Barber,average
NA,1.0,0.673076923076923,1,0,Barber,average
NA,1.0,0.7156862745098038,0,1,Barber,average
NA,1.0,0.676470588235294,0,0,Barber,average
NA,1.0,0.7045454545454545,0,0,Barber,average
NA,1.0,0.7548076923076923,0,1,Barber,average
NA,1.0,0.6704545454545454,0,0,Barber,average
NA,1.0,0.6538461538461539,0,0,Barber,average
NA,1.0,0.64,0,0,Barber,average
NA,1.0,0.6809523809523809,0,1,Barber,average
NA,1.0,0.8125,0,0,Barber,average
NA,1.0,0.6666666666666666,0,0,Barber,average
NA,1.0,0.7467532467532467,0,0,Barber,average
NA,1.0,0.6666666666666666,0,0,Barber,average
NA,1.0,0.6527777777777777,0,0,Barber,average
NA,1.0,0.7,0,0,Barber,average
NA,1.0,0.6704545454545454,0,1,Barber,average
NA,1.0,0.819047619047619,1,1,Barber,average
NA,1.0,0.6666666666666666,0,0,Barber,average
NA,1.0,0.6929824561403508,0,0,Barber,average
NA,1.0,0.6363636363636364,0,0,Barber,average
NA,1.0,0.744047619047619,0,0,Barber,average
NA,1.0,0.6956521739130435,0,0,Barber,average
NA,1.0,0.8431372549019607,0,1,Barber,average
NA,1.0,0.7,0,0,Barber,average
NA,1.0,0.7083333333333333,0,0,Barber,average
NA,1.0,0.7589743589743589,1,1,Barber,average
NA,1.0,0.6617647058823529,0,0,Barber,average
NA,1.0,0.6521739130434782,1,0,Barber,average
NA,1.0,0.7307692307692307,0,0,Barber,average
NA,1.0,0.6875,0,1,Barber,average
NA,1.0,0.7,0,1,Barber,average
NA,1.0,0.69375,0,0,Barber,average
NA,1.0,0.7619047619047619,0,0,Barber,average
NA,1.0,0.7333333333333333,0,0,Barber,average
NA,1.0,0.5909090909090909,0,0,Barber,average
NA,1.0,0.8285714285714285,0,0,Barber,average
NA,1.0,0.6599999999999999,0,0,Barber,average
NA,1.0,0.6923076923076923,0,0,Barber,average
NA,1.0,0.7548076923076923,0,1,Barber,average
NA,1.0,0.6399999999999999,0,0,Barber,average
NA,1.0,0.7163461538461537,0,1,Barber,average
NA,1.0,0.7037037037037037,0,0,Barber,average
NA,1.0,0.6599999999999999,0,0,Barber,average
NA,1.0,0.763157894736842,0,0,Barber,average
NA,1.0,0.7412587412587412,0,1,Barber,average
NA,1.0,0.6444444444444444,0,0,Barber,average
NA,1.0,0.71875,0,0,Barber,average
NA,1.0,0.6785714285714285,0,0,Barber,average
NA,1.0,0.7705882352941176,0,1,Barber,average
NA,1.0,0.7738095238095237,0,0,Barber,average
NA,1.0,0.6847826086956521,0,0,Barber,average
NA,1.0,0.6785714285714285,0,0,Barber,average
NA,1.0,0.6666666666666666,1,0,Barber,average
NA,1.0,0.6666666666666666,0,0,Barber,average
NA,1.0,0.6813725490196078,0,1,Barber,average
NA,1.0,0.7619047619047619,0,0,Barber,average
NA,1.0,0.6785714285714285,0,0,Barber,average
NA,1.0,0.6969696969696969,0,0,Barber,average
NA,1.0,0.6428571428571428,0,0,Barber,average
NA,1.0,0.75,0,0,Barber,average
NA,1.0,0.7181818181818181,0,1,Barber,average
NA,1.0,0.7551020408163265,0,0,Barber,average
NA,1.0,0.7142857142857142,0,0,Barber,average
NA,1.0,0.7878787878787878,0,1,Barber,average
NA,1.0,0.875,0,1,Barber,average
NA,1.0,0.631578947368421,0,0,Barber,average
NA,1.0,0.6785714285714285,0,0,Barber,average
NA,1.0,0.6363636363636364,0,0,Barber,average
NA,1.0,0.5555555555555555,0,0,Barber,average
NA,1.0,0.6785714285714285,0,0,Barber,average
NA,1.0,0.7407407407407407,0,0,Barber,average
NA,1.0,0.6599999999999999,0,0,Barber,average
NA,1.0,0.7,0,0,Barber,average
NA,1.0,0.7272727272727272,0,1,Barber,average
NA,1.0,0.7051282051282051,0,0,Barber,average
NA,1.0,0.7403846153846153,0,1,Barber,average
NA,1.0,0.7727272727272727,0,0,Barber,average
NA,1.0,0.6785714285714285,0,0,Barber,average
NA,1.0,0.6851851851851851,0,0,Barber,average
NA,1.0,0.736111111111111,0,0,Barber,average
NA,1.0,0.7163461538461537,0,1,Barber,average
NA,1.0,0.75,0,1,Barber,average
NA,1.0,0.6499999999999999,0,0,Barber,average
NA,1.0,0.7217391304347825,0,0,Barber,average
NA,1.0,0.7074829931972788,0,0,Barber,average
NA,1.0,0.7222222222222222,0,0,Barber,average
NA,1.0,0.6923076923076923,0,0,Barber,average
NA,1.0,0.6777777777777777,0,0,Barber,average
NA,1.0,0.7678571428571428,0,0,Barber,average
NA,1.0,0.6666666666666666,0,0,Barber,average
NA,1.0,0.6785714285714285,0,0,Barber,average
NA,1.0,0.6544117647058824,0,0,Barber,average
NA,1.0,0.7047619047619047,0,0,Barber,average
NA,1.0,0.6875,0,0,Barber,average
NA,1.0,0.6799999999999999,0,0,Barber,average
NA,1.0,0.6933333333333332,0,0,Barber,average
NA,1.0,0.6964285714285714,0,0,Barber,average
NA,1.0,0.75,0,0,Barber,average
NA,1.0,0.7037037037037036,0,0,Barber,average
NA,1.0,0.608695652173913,0,0,Barber,average
NA,1.0,0.6904761904761905,0,0,Barber,average
NA,1.0,0.6565656565656566,0,0,Barber,average
NA,1.0,0.7357142857142857,0,0,Barber,average
NA,1.0,0.7037037037037037,0,0,Barber,average
NA,1.0,0.711111111111111,0,0,Barber,average
NA,1.0,0.7142857142857142,0,0,Barber,average
NA,1.0,0.734375,0,0,Barber,average
NA,1.0,0.7307692307692307,0,1,Barber,average
NA,1.0,0.8011363636363635,1,1,Barber,average
NA,1.0,0.6938775510204082,0,0,Barber,average
NA,1.0,0.7460317460317459,0,0,Barber,average
NA,1.0,0.6875,0,0,Barber,average
NA,1.0,0.7076923076923076,0,1,Barber,average
NA,1.0,0.6666666666666666,0,0,Barber,average
NA,1.0,0.6785714285714285,0,0,Barber,average
NA,1.0,0.6842105263157894,0,1,Barber,average
NA,1.0,0.6964285714285714,0,0,Barber,average
NA,1.0,0.0,0,0,Barber,average
NA,1.0,0.7115384615384615,1,1,Barber,average
NA,1.0,0.7532467532467532,0,1,Barber,average
NA,1.0,0.6142857142857142,0,0,Barber,average
NA,1.0,0.7499999999999999,0,0,Barber,average
NA,1.0,0.7625,0,0,Barber,average
NA,1.0,0.6785714285714285,0,0,Barber,average
NA,1.0,0.7337662337662337,0,0,Barber,average
NA,1.0,0.7916666666666666,0,0,Barber,average
NA,1.0,0.6799999999999999,0,0,Barber,average
NA,1.0,0.6611570247933883,0,1,Barber,average
NA,1.0,0.725,0,0,Barber,average
NA,1.0,0.6499999999999999,0,0,Barber,average
NA,1.0,0.6851851851851851,0,0,Barber,average
NA,1.0,0.6666666666666666,0,0,Barber,average
NA,1.0,0.7391304347826086,0,0,Barber,average
NA,1.0,0.6666666666666666,0,0,Barber,average
NA,1.0,0.6825396825396824,0,0,Barber,average
NA,1.0,0.712121212121212,0,0,Barber,average
NA,1.0,0.7944444444444444,0,0,Barber,average
NA,1.0,0.6904761904761905,0,1,Barber,average
NA,1.0,0.73,0,0,Barber,average
NA,1.0,0.738095238095238,0,0,Barber,average
NA,1.0,0.6923076923076923,0,0,Barber,average
NA,1.0,0.6884057971014492,0,0,Barber,average
NA,1.0,0.6833333333333332,0,1,Barber,average
NA,1.0,0.7181818181818181,0,0,Barber,average
NA,1.0,0.6785714285714285,0,0,Barber,average
NA,1.0,0.7187499999999999,0,0,Barber,average
NA,1.0,0.6739130434782608,0,0,Barber,average
NA,1.0,0.7065217391304347,0,0,Barber,average
NA,1.0,0.71,0,0,Barber,average
NA,1.0,0.7307692307692307,0,0,Barber,average
NA,1.0,0.6782608695652174,0,0,Barber,average
NA,1.0,0.753968253968254,0,0,Barber,average
NA,1.0,0.6971153846153846,0,1,Barber,average
NA,1.0,0.6964285714285714,0,0,Barber,average
NA,1.0,0.7115384615384615,0,0,Barber,average
NA,1.0,0.6521739130434783,0,0,Barber,average
NA,1.0,0.6583333333333333,0,0,Barber,average
NA,1.0,0.6538461538461539,0,0,Barber,average
NA,1.0,0.6666666666666666,0,0,Barber,average
NA,1.0,0.75,0,0,Barber,average
NA,1.0,0.625,0,0,Barber,average
NA,1.0,0.6176470588235293,0,0,Barber,average
NA,1.0,0.6722222222222222,0,0,Barber,average
NA,1.0,0.6802721088435374,0,0,Barber,average
NA,1.0,0.7214285714285714,0,0,Barber,average
NA,1.0,0.6799999999999999,0,0,Barber,average
NA,1.0,0.7625,0,0,Barber,average
NA,1.0,0.6521739130434783,0,0,Barber,average
NA,1.0,0.8571428571428571,0,0,Barber,average
NA,1.0,0.65625,0,0,Barber,average
NA,1.0,0.7662337662337662,0,0,Barber,average
NA,1.0,0.7115384615384615,0,1,Barber,average
NA,1.0,0.6,1,0,Barber,average
NA,1.0,0.6851851851851851,0,0,Barber,average
NA,1.0,0.6883116883116882,0,0,Barber,average
NA,1.0,0.7403846153846153,0,1,Barber,average
NA,1.0,0.7714285714285714,0,0,Barber,average
NA,1.0,0.6,0,0,Barber,average
NA,1.0,0.608695652173913,0,0,Barber,average
NA,1.0,0.7307692307692307,0,0,Barber,average
NA,1.0,0.7777777777777777,0,0,Barber,average
NA,1.0,0.6833333333333333,0,0,Barber,average
NA,1.0,0.7684210526315789,0,1,Barber,average
NA,1.0,0.7083333333333333,0,0,Barber,average
NA,1.0,0.7032967032967032,0,0,Barber,average
NA,1.0,0.6499999999999999,0,0,Barber,average
NA,1.0,0.7261904761904762,0,0,Barber,average
NA,1.0,0.7473684210526316,0,1,Barber,average
NA,1.0,0.72,0,0,Barber,average
NA,1.0,0.6590909090909091,0,0,Barber,average
NA,1.0,0.6931818181818181,0,1,Barber,average
NA,1.0,0.5714285714285714,0,0,Barber,average
NA,1.0,0.7171717171717171,0,1,Barber,average
NA,1.0,0.7767857142857142,0,0,Barber,average
NA,1.0,0.7142857142857142,0,0,Barber,average
NA,1.0,0.6499999999999999,0,0,Barber,average
NA,1.0,0.725,0,0,Barber,average
NA,1.0,0.7166666666666666,0,0,Barber,average
NA,1.0,0.7083333333333333,0,0,Barber,average
NA,1.0,0.6749999999999999,0,0,Barber,average
NA,1.0,0.7714285714285714,0,0,Barber,average
NA,1.0,0.736111111111111,0,0,Barber,average
NA,1.0,0.7142857142857142,0,0,Barber,average
