,Tau,Method,ARI
193,0.025,Randomized,1.0
194,0.05,Randomized,1.0
195,0.1,Randomized,1.0
196,0.25,Randomized,1.0
197,0.5,Randomized,0.0
198,1.0,Randomized,0.0
199,5.0,Randomized,-0.017306652244456464
200,0.0,Naive,1.0
201,0.025,Randomized,1.0
202,0.05,Randomized,1.0
203,0.1,Randomized,1.0
204,0.25,Randomized,0.0
205,0.5,Randomized,0.02145922746781116
206,1.0,Randomized,0.1211453744493392
207,5.0,Randomized,0.11529933481152993
208,0.0,Naive,1.0
209,0.025,Randomized,1.0
210,0.05,Randomized,1.0
211,0.1,Randomized,1.0
212,0.25,Randomized,1.0
213,0.5,Randomized,0.06489994591671173
214,1.0,Randomized,0.13071895424836602
215,5.0,Randomized,0.006535947712418301
216,0.0,Naive,1.0
217,0.025,Randomized,1.0
218,0.05,Randomized,1.0
219,0.1,Randomized,1.0
220,0.25,Randomized,1.0
221,0.5,Randomized,0.02145922746781116
222,1.0,Randomized,0.02145922746781116
223,5.0,Randomized,-0.030684931506849315
224,0.0,Naive,1.0
225,0.025,Randomized,1.0
226,0.05,Randomized,1.0
227,0.1,Randomized,1.0
228,0.25,Randomized,0.7995558023320377
229,0.5,Randomized,0.02145922746781116
230,1.0,Randomized,0.13071895424836602
231,5.0,Randomized,-0.017306652244456464
232,0.0,Naive,1.0
233,0.025,Randomized,1.0
234,0.05,Randomized,1.0
235,0.1,Randomized,1.0
236,0.25,Randomized,1.0
237,0.5,Randomized,0.0
238,1.0,Randomized,0.03997779011660189
239,5.0,Randomized,-0.011086474501108648
240,0.0,Naive,1.0
241,0.025,Randomized,1.0
242,0.05,Randomized,1.0
243,0.1,Randomized,1.0
244,0.25,Randomized,1.0
245,0.5,Randomized,0.0
246,1.0,Randomized,0.02145922746781116
247,5.0,Randomized,0.2087729039422543
248,0.0,Naive,0.0
249,0.025,Randomized,0.0
250,0.05,Randomized,1.0
251,0.1,Randomized,0.0
252,0.25,Randomized,0.06489994591671173
253,0.5,Randomized,0.0
254,1.0,Randomized,0.2191780821917808
255,5.0,Randomized,-0.034858387799564274
256,0.0,Naive,1.0
257,0.025,Randomized,1.0
258,0.05,Randomized,1.0
259,0.1,Randomized,1.0
260,0.25,Randomized,1.0
261,0.5,Randomized,0.06489994591671173
262,1.0,Randomized,0.02145922746781116
263,5.0,Randomized,0.06489994591671173
264,0.0,Naive,1.0
265,0.025,Randomized,1.0
266,0.05,Randomized,1.0
267,0.1,Randomized,1.0
268,0.25,Randomized,1.0
269,0.5,Randomized,0.0
270,1.0,Randomized,0.0526027397260274
271,5.0,Randomized,-0.030684931506849315
272,0.0,Naive,1.0
273,0.025,Randomized,1.0
274,0.05,Randomized,1.0
275,0.1,Randomized,1.0
276,0.25,Randomized,1.0
277,0.5,Randomized,0.13071895424836602
278,1.0,Randomized,0.11333333333333333
279,5.0,Randomized,-0.05321507760532151
280,0.0,Naive,1.0
281,0.025,Randomized,1.0
282,0.05,Randomized,1.0
283,0.1,Randomized,1.0
284,0.25,Randomized,0.0
285,0.5,Randomized,0.0
286,1.0,Randomized,0.3303964757709251
287,5.0,Randomized,-0.019313304721030045
288,0.0,Naive,1.0
289,0.025,Randomized,0.0
290,0.05,Randomized,0.0
291,0.1,Randomized,0.0
292,0.25,Randomized,1.0
293,0.5,Randomized,-0.034858387799564274
294,1.0,Randomized,-0.017306652244456464
295,5.0,Randomized,-0.017306652244456464
296,0.0,Naive,1.0
297,0.025,Randomized,1.0
298,0.05,Randomized,1.0
299,0.1,Randomized,1.0
300,0.25,Randomized,0.02145922746781116
301,0.5,Randomized,0.02145922746781116
302,1.0,Randomized,-0.019313304721030045
303,5.0,Randomized,0.04422332780541736
304,0.0,Naive,1.0
305,0.025,Randomized,1.0
306,0.05,Randomized,1.0
307,0.1,Randomized,1.0
308,0.25,Randomized,0.0
309,0.5,Randomized,0.0
310,1.0,Randomized,0.0
311,5.0,Randomized,0.0
312,0.0,Naive,1.0
313,0.025,Randomized,1.0
314,0.05,Randomized,1.0
315,0.1,Randomized,0.46434494195688225
316,0.25,Randomized,0.0
317,0.5,Randomized,0.0
318,1.0,Randomized,0.0
319,5.0,Randomized,-0.017306652244456464
320,0.0,Naive,1.0
321,0.025,Randomized,1.0
322,0.05,Randomized,1.0
323,0.1,Randomized,1.0
324,0.25,Randomized,0.0
325,0.5,Randomized,0.0
326,1.0,Randomized,0.0
327,5.0,Randomized,0.0
328,0.0,Naive,1.0
329,0.025,Randomized,1.0
330,0.05,Randomized,1.0
331,0.1,Randomized,1.0
332,0.25,Randomized,0.0
333,0.5,Randomized,0.0
334,1.0,Randomized,0.0
335,5.0,Randomized,0.0
336,0.0,Naive,1.0
337,0.025,Randomized,1.0
338,0.05,Randomized,1.0
339,0.1,Randomized,1.0
340,0.25,Randomized,0.46434494195688225
341,0.5,Randomized,0.0
342,1.0,Randomized,0.06489994591671173
343,5.0,Randomized,-0.017306652244456464
344,0.0,Naive,1.0
345,0.025,Randomized,1.0
346,0.05,Randomized,1.0
347,0.1,Randomized,1.0
348,0.25,Randomized,0.3303964757709251
349,0.5,Randomized,-0.004405286343612335
350,1.0,Randomized,0.3303964757709251
351,5.0,Randomized,-0.046255506607929514
352,0.0,Naive,1.0
353,0.025,Randomized,1.0
354,0.05,Randomized,1.0
355,0.1,Randomized,1.0
356,0.25,Randomized,1.0
357,0.5,Randomized,0.02145922746781116
358,1.0,Randomized,0.13071895424836602
359,5.0,Randomized,-0.046255506607929514
360,0.0,Naive,1.0
361,0.025,Randomized,1.0
362,0.05,Randomized,1.0
363,0.1,Randomized,1.0
364,0.25,Randomized,0.0
365,0.5,Randomized,0.3303964757709251
366,1.0,Randomized,0.13071895424836602
367,5.0,Randomized,-0.011086474501108648
368,0.0,Naive,1.0
369,0.025,Randomized,1.0
370,0.05,Randomized,1.0
371,0.1,Randomized,0.0
372,0.25,Randomized,0.0
373,0.5,Randomized,0.02145922746781116
374,1.0,Randomized,0.0
375,5.0,Randomized,-0.019313304721030045
376,0.0,Naive,0.0
377,0.025,Randomized,0.0
378,0.05,Randomized,0.0
379,0.1,Randomized,0.0
380,0.25,Randomized,0.06489994591671173
381,0.5,Randomized,0.0
382,1.0,Randomized,0.0526027397260274
383,5.0,Randomized,-0.011086474501108648
384,0.0,Naive,1.0
385,0.025,Randomized,1.0
386,0.05,Randomized,1.0
387,0.1,Randomized,1.0
388,0.25,Randomized,0.0
389,0.5,Randomized,0.0
390,1.0,Randomized,-0.017306652244456464
391,5.0,Randomized,0.02145922746781116
392,0.0,Naive,1.0
