,Tau,Method,WCSS/TSS
666,0.05,Randomized,0.1959664886166971
667,0.1,Randomized,0.1959664886166971
668,0.25,Randomized,0.1959664886166971
669,0.5,Randomized,0.8651100862035597
670,1.0,Randomized,0.8966676921629322
671,5.0,Randomized,0.9915353555082072
672,0.0,Naive,0.17872390131579333
673,0.025,Randomized,0.17872390131579333
674,0.05,Randomized,0.17872390131579333
675,0.1,Randomized,0.17872390131579333
676,0.25,Randomized,0.17872390131579333
677,0.5,Randomized,0.9009657372379404
678,1.0,Randomized,0.8973331961886158
679,5.0,Randomized,0.9234216360533086
680,0.0,Naive,0.19503345329184546
681,0.025,Randomized,0.19503345329184546
682,0.05,Randomized,0.19503345329184546
683,0.1,Randomized,0.8786742019165998
684,0.25,Randomized,0.8786742019165998
685,0.5,Randomized,0.8786742019165998
686,1.0,Randomized,0.8786742019165998
687,5.0,Randomized,0.9628924681701421
688,0.0,Naive,0.16564450050783378
689,0.025,Randomized,0.16564450050783378
690,0.05,Randomized,0.16564450050783378
691,0.1,Randomized,0.16564450050783378
692,0.25,Randomized,0.16564450050783378
693,0.5,Randomized,0.8987965747737505
694,1.0,Randomized,0.8833754284128066
695,5.0,Randomized,0.9881700591878557
696,0.0,Naive,0.12207453733488248
697,0.025,Randomized,0.12207453733488248
