,pval,alpha,reject
0,1.0,0.0,False
1,1.0,0.0,False
2,1.0,0.0,False
3,1.0,0.0,False
4,1.0,0.0,False
5,1.0,0.0,False
6,1.0,0.0,False
7,1.0,0.0,False
8,1.0,0.0,False
9,1.0,0.0,False
10,1.0,0.0,False
11,0.6816322687057069,2.914561184099268e-06,False
12,1.0,0.0,False
13,1.0,0.0,False
14,1.0,0.0,False
15,0.48228057315232686,3.934246084575545e-06,False
16,1.0,0.0,False
17,1.0,0.0,False
18,1.0,0.0,False
19,0.4695434542741604,5.310676728435703e-06,False
20,1.0,0.0,False
21,0.5439659120114693,7.1686637560678455e-06,False
22,0.5685355259726812,9.67668390967906e-06,False
23,0.7789189307554536,1.3062157003609271e-05,False
24,1.0,0.0,False
25,0.2116554539959503,1.7632067677262543e-05,False
26,0.23401577917376182,2.3800801849929e-05,False
27,0.0,3.212772200449788e-05,True
