Tau,Delta,Conditional Power,Recovery Probability,Successful Trials
0.01,4,0.37333333333333335,0.15,False
0.01,6,0.6658097686375322,0.778,False
0.01,8,0.8020408163265306,0.98,False
0.01,10,0.954,1.0,True
0.01,12,1.0,1.0,True
0.05,4,0.8717948717948718,0.078,False
0.05,6,1.0,0.65,False
0.05,8,1.0,0.948,False
0.05,10,1.0,0.998,False
0.05,12,1.0,0.998,False
