Tau,Delta,Conditional Power,Recovery Probability,Successful Trials
0.01,4,0.6163522012578616,0.159,False
0.01,6,1.0,0.76,False
0.01,8,1.0,0.988,False
0.01,10,1.0,1.0,True
0.01,12,1.0,1.0,True
