tau=0.025,tau=0.05,tau=0.1,tau=0.25,tau=0.5,tau=1,tau=5,naive
0.4393415181755215,0.858770347307408,0.18803753914899055,0.3413945196489605,0.257242784566163,0.4926656705167497,0.11345051144260723,0.006247346483176819
0.49762942304226043,0.232664231952631,0.330045451293483,0.920203976926222,0.8572423601673183,0.5394663433521553,0.18080916611074319,0.0003551242936272736
0.40467836871790624,0.13957186593614965,0.0383740577667675,0.06295206038494322,0.4214901809882963,0.45492483545616136,0.4765292623812946,5.981188300197005e-08
0.5737005750326661,0.8780488798429346,0.7256455338571555,0.20245581714989658,0.2542673746937251,0.016982349542695226,0.9476571726178231,0.0004281132794652365
0.8942087160362754,0.8420579177877853,0.6868536056179273,0.49308157106372646,0.18968347245903985,0.584179700371612,0.8103413017259171,9.234293646698255e-05
0.5643900658085378,0.13985545302107777,0.7089387010007818,0.7784020740419011,0.9642180664653367,0.4576705627841305,0.5063206922900804,0.00012177361206189286
0.6257573898807053,0.2790127500934367,0.6012910990739118,0.8652616245492987,0.036700146477957295,0.6328362553376708,0.973292789793761,6.0197104860493234e-05
0.9938630382605674,0.7411528294073317,0.8771216572926561,0.5760687745153471,0.8897764135906123,0.4551801630143198,0.7265152517342118,8.277082180585538e-05
0.31811556423522847,0.6788942866039214,0.533876358054306,0.5538018306398124,0.9586537904323432,0.3793035501904848,0.1649626768423396,0.000993900500506406
0.6929707053465005,0.5786047739427431,0.48481540663047273,0.1263337988877432,0.7566581913970136,0.3857251892581233,0.04879470893843709,0.0004720554713090186
0.5787171424354319,0.9460650395404949,0.7933081857954981,0.8352265723642337,0.5139345132118651,0.303499539637989,0.1653290211286858,0.0001651870029306668
0.8957879052241793,0.8481187876028944,0.4610145040103827,0.8998612521432341,0.7421312167623041,0.1974306109089286,0.02524373601933518,0.0025218524657301122
0.37776564901217985,0.2651818193517827,0.39121436713459623,0.27338756068990333,0.8025116026765389,0.5325881980075163,0.5536656046423492,0.0006259690005098184
0.5855485639905358,0.4176862660627886,0.5616222286129757,0.6164645284747395,0.4876229092649866,0.9853406251749746,0.5397461681019007,1.4188442951756919e-05
0.2780969155518008,0.2863449575749398,0.040308407118557946,0.5837381776321444,0.8807324451736155,0.5638087455936887,0.3784210170156351,1.0930240428530524e-05
0.8408656606884037,0.9622163553063776,0.9396941304830247,0.9547507236258416,0.19568875348996576,0.09184873709770675,0.5857767139472262,3.394222813213332e-05
0.7289528965283617,0.7934515627139285,0.5052737058799713,0.20413470441360995,0.8355895832566038,0.9838942278738045,0.17360735845831515,0.0001486261007709322
0.48218780554932694,0.7289640190899439,0.9141371456274338,0.9672738988410946,0.3048051465624641,0.40704824859668903,0.9065834872301822,8.268707886172066e-07
0.22523905904747737,0.25814169716949703,0.8699339623810414,0.5931170519568549,0.41931038718055386,0.35482356646330626,0.40207756963654084,0.002796169183663766
0.19111641548654276,0.02716633176184131,0.20555632076924693,0.09440473051226934,0.6170720114490331,0.8326727497946584,0.7334086338989444,1.1551730535575011e-05
0.5023131508827194,0.182580318423951,0.46457247497895215,0.06453170049093404,0.42319364389682923,0.19162092909276313,0.07562449640795275,1.5176660943416742e-05
0.45796755008949885,0.8726015333533791,0.20141202006885797,0.09610972440144827,0.44477463580031307,0.8435343416788668,0.9000886148136806,0.003760932439256681
0.9608991645401129,0.7144380463011232,0.010924193708419766,0.8738627361095004,0.561912955881808,0.8866201181940297,0.042667384910792513,1.2771699606228815e-05
0.040977814557917255,0.8870310861779026,0.37282329007875076,0.03754111140752509,0.9951805460641014,0.3119640202434671,0.14460916661222903,1.4042544851711192e-05
0.6876020552139984,0.8259725073755265,0.8200751050792005,0.8503406539460768,0.8823204098628061,0.7886859202880407,0.7581371904942057,0.0010570751213081486
0.27240178527492864,0.3277205314284901,0.5249099850399727,0.6396268231079071,0.8486924059443975,0.7169278417806341,0.7252176694968312,6.589968991943529e-06
0.14968347429135742,0.2822916612607675,0.0036456044623966823,0.9036606815294976,0.344254510001445,0.5246184874893672,0.989022701165432,7.574928630782463e-05
0.7216584853449931,0.7652108777642492,0.5595741795388317,0.8973910749169197,0.24766524289663833,0.335451098345449,0.3218303073305002,0.0007563926197442505
0.425904874134175,0.34521379537593894,0.11887961763460443,0.5251840664191413,0.747504165850267,0.1144604663766399,0.3731271329853521,6.933687297649982e-07
0.8056694092279308,0.3903304241185523,0.00358402227265602,0.2358447213919175,0.23432036887315158,0.48297481498918954,0.21472785046860438,1.8239008560128056e-06
