,delta,Tau,Method,Recovery
219,2,0.1,Randomized,0
220,2,0.0,Naive,0
221,2,0.1,Randomized,0
222,2,0.0,Naive,0
223,2,0.1,Randomized,0
224,2,0.0,Naive,0
225,2,0.1,Randomized,0
226,2,0.0,Naive,0
227,2,0.1,Randomized,0
228,2,0.0,Naive,0
229,2,0.1,Randomized,0
230,2,0.0,Naive,0
231,2,0.1,Randomized,0
232,2,0.0,Naive,0
233,2,0.1,Randomized,0
234,2,0.0,Naive,0
235,2,0.1,Randomized,0
236,2,0.0,Naive,0
237,2,0.1,Randomized,0
238,2,0.0,Naive,0
239,2,0.1,Randomized,0
240,2,0.0,Naive,0
241,2,0.1,Randomized,0
242,2,0.0,Naive,0
243,2,0.1,Randomized,0
244,2,0.0,Naive,0
245,2,0.1,Randomized,0
246,2,0.0,Naive,0
247,2,0.1,Randomized,0
248,2,0.0,Naive,0
249,2,0.1,Randomized,0
250,2,0.0,Naive,0
251,2,0.1,Randomized,0
252,2,0.0,Naive,0
253,2,0.1,Randomized,0
254,2,0.0,Naive,0
255,2,0.1,Randomized,0
256,2,0.0,Naive,0
257,2,0.1,Randomized,0
258,2,0.0,Naive,0
259,2,0.1,Randomized,0
260,2,0.0,Naive,0
261,2,0.1,Randomized,0
262,2,0.0,Naive,0
263,2,0.1,Randomized,0
264,2,0.0,Naive,0
265,2,0.1,Randomized,0
266,2,0.0,Naive,0
267,2,0.1,Randomized,0
268,2,0.0,Naive,0
269,2,0.1,Randomized,0
270,2,0.0,Naive,0
271,2,0.1,Randomized,0
272,2,0.0,Naive,0
273,2,0.1,Randomized,0
274,2,0.0,Naive,0
275,2,0.1,Randomized,0
276,2,0.0,Naive,0
277,2,0.1,Randomized,0
278,2,0.0,Naive,0
279,2,0.1,Randomized,0
280,2,0.0,Naive,0
281,2,0.1,Randomized,0
282,2,0.0,Naive,0
283,2,0.1,Randomized,0
284,2,0.0,Naive,0
285,2,0.1,Randomized,0
286,2,0.0,Naive,0
287,2,0.1,Randomized,0
288,2,0.0,Naive,0
289,2,0.1,Randomized,0
290,2,0.0,Naive,0
291,2,0.1,Randomized,0
292,2,0.0,Naive,0
293,2,0.1,Randomized,0
294,2,0.0,Naive,0
295,2,0.1,Randomized,0
296,2,0.0,Naive,0
297,2,0.1,Randomized,0
298,2,0.0,Naive,0
299,2,0.1,Randomized,0
300,2,0.0,Naive,0
301,2,0.1,Randomized,0
302,2,0.0,Naive,0
303,2,0.1,Randomized,0
304,2,0.0,Naive,0
305,2,0.1,Randomized,0
306,2,0.0,Naive,0
307,2,0.1,Randomized,0
308,2,0.0,Naive,0
309,2,0.1,Randomized,0
310,2,0.0,Naive,0
311,2,0.1,Randomized,0
312,2,0.0,Naive,0
313,2,0.1,Randomized,0
314,2,0.0,Naive,0
315,2,0.1,Randomized,0
316,2,0.0,Naive,0
317,2,0.1,Randomized,0
318,2,0.0,Naive,0
319,2,0.1,Randomized,0
320,2,0.0,Naive,0
321,2,0.1,Randomized,0
322,2,0.0,Naive,0
323,2,0.1,Randomized,0
324,2,0.0,Naive,0
325,2,0.1,Randomized,0
326,2,0.0,Naive,0
327,2,0.1,Randomized,0
328,2,0.0,Naive,0
329,2,0.1,Randomized,0
330,2,0.0,Naive,0
331,2,0.1,Randomized,0
332,2,0.0,Naive,0
333,2,0.1,Randomized,0
334,2,0.0,Naive,0
335,2,0.1,Randomized,0
336,2,0.0,Naive,0
337,2,0.1,Randomized,0
338,2,0.0,Naive,0
339,2,0.1,Randomized,0
340,2,0.0,Naive,0
341,2,0.1,Randomized,0
342,2,0.0,Naive,0
343,2,0.1,Randomized,0
344,2,0.0,Naive,0
345,2,0.1,Randomized,0
346,2,0.0,Naive,0
347,2,0.1,Randomized,0
348,2,0.0,Naive,0
349,2,0.1,Randomized,0
350,2,0.0,Naive,0
351,2,0.1,Randomized,0
352,2,0.0,Naive,0
353,2,0.1,Randomized,0
354,2,0.0,Naive,0
355,2,0.1,Randomized,0
356,2,0.0,Naive,0
357,2,0.1,Randomized,0
358,2,0.0,Naive,0
359,2,0.1,Randomized,0
360,2,0.0,Naive,0
361,2,0.1,Randomized,0
362,2,0.0,Naive,0
363,2,0.1,Randomized,0
364,2,0.0,Naive,0
365,2,0.1,Randomized,0
366,2,0.0,Naive,0
367,2,0.1,Randomized,0
368,2,0.0,Naive,0
369,2,0.1,Randomized,0
370,2,0.0,Naive,0
371,2,0.1,Randomized,0
372,2,0.0,Naive,0
373,2,0.1,Randomized,0
374,2,0.0,Naive,0
375,2,0.1,Randomized,0
376,2,0.0,Naive,0
377,2,0.1,Randomized,0
378,2,0.0,Naive,0
379,2,0.1,Randomized,0
380,2,0.0,Naive,0
381,2,0.1,Randomized,0
382,2,0.0,Naive,0
383,2,0.1,Randomized,0
384,2,0.0,Naive,0
385,2,0.1,Randomized,0
386,2,0.0,Naive,0
387,2,0.1,Randomized,0
388,2,0.0,Naive,0
389,2,0.1,Randomized,0
390,2,0.0,Naive,0
391,2,0.1,Randomized,0
392,2,0.0,Naive,0
393,2,0.1,Randomized,0
394,2,0.0,Naive,0
395,2,0.1,Randomized,0
396,2,0.0,Naive,0
397,2,0.1,Randomized,0
398,2,0.0,Naive,0
399,2,0.1,Randomized,0
400,2,0.0,Naive,0
401,2,0.1,Randomized,0
402,2,0.0,Naive,0
403,2,0.1,Randomized,0
404,2,0.0,Naive,0
405,2,0.1,Randomized,0
406,2,0.0,Naive,0
407,2,0.1,Randomized,0
408,2,0.0,Naive,0
409,2,0.1,Randomized,0
410,2,0.0,Naive,0
411,2,0.1,Randomized,0
412,2,0.0,Naive,0
413,2,0.1,Randomized,0
414,2,0.0,Naive,0
415,2,0.1,Randomized,0
416,2,0.0,Naive,0
417,2,0.1,Randomized,0
418,2,0.0,Naive,0
419,2,0.1,Randomized,0
420,2,0.0,Naive,0
421,2,0.1,Randomized,0
422,2,0.0,Naive,0
423,2,0.1,Randomized,0
424,2,0.0,Naive,0
425,2,0.1,Randomized,0
426,2,0.0,Naive,0
427,2,0.1,Randomized,0
428,2,0.0,Naive,0
429,2,0.1,Randomized,0
430,2,0.0,Naive,0
431,2,0.1,Randomized,0
432,2,0.0,Naive,0
433,2,0.1,Randomized,0
434,2,0.0,Naive,0
435,2,0.1,Randomized,0
436,2,0.0,Naive,0
437,2,0.1,Randomized,0
438,2,0.0,Naive,0
439,2,0.1,Randomized,0
440,2,0.0,Naive,0
441,2,0.1,Randomized,0
442,2,0.0,Naive,0
443,2,0.1,Randomized,0
444,2,0.0,Naive,0
445,2,0.1,Randomized,0
446,2,0.0,Naive,0
447,2,0.1,Randomized,0
448,2,0.0,Naive,0
449,2,0.1,Randomized,0
450,2,0.0,Naive,0
451,2,0.1,Randomized,0
452,2,0.0,Naive,0
453,2,0.1,Randomized,0
454,2,0.0,Naive,0
455,2,0.1,Randomized,0
456,2,0.0,Naive,0
457,2,0.1,Randomized,0
458,2,0.0,Naive,0
459,2,0.1,Randomized,0
460,2,0.0,Naive,0
461,2,0.1,Randomized,0
462,2,0.0,Naive,0
463,2,0.1,Randomized,0
464,2,0.0,Naive,0
465,2,0.1,Randomized,0
466,2,0.0,Naive,0
467,2,0.1,Randomized,0
468,2,0.0,Naive,0
469,2,0.1,Randomized,0
470,2,0.0,Naive,0
471,2,0.1,Randomized,0
472,2,0.0,Naive,0
473,2,0.1,Randomized,0
474,2,0.0,Naive,0
475,2,0.1,Randomized,0
476,2,0.0,Naive,0
477,2,0.1,Randomized,0
478,2,0.0,Naive,0
479,2,0.1,Randomized,0
480,2,0.0,Naive,0
481,2,0.1,Randomized,0
482,2,0.0,Naive,0
483,2,0.1,Randomized,0
484,2,0.0,Naive,0
485,2,0.1,Randomized,0
486,2,0.0,Naive,0
487,2,0.1,Randomized,0
488,2,0.0,Naive,0
489,2,0.1,Randomized,0
490,2,0.0,Naive,0
