,delta,Tau,Method,WCSS/TSS
148,2,0.0,Naive,0.8431672633419414
149,2,0.1,Randomized,0.8431672633419414
150,2,0.0,Naive,0.8454828134699562
151,2,0.1,Randomized,0.8454828134699562
152,2,0.0,Naive,0.46350341590221517
153,2,0.1,Randomized,0.46350341590221517
154,2,0.0,Naive,0.8200375845842155
155,2,0.1,Randomized,0.8363063445671592
156,2,0.0,Naive,0.7844739586976779
157,2,0.1,Randomized,0.8558378805777422
158,2,0.0,Naive,0.7780768651656994
159,2,0.1,Randomized,0.7780768651656994
160,2,0.0,Naive,0.792295580907223
161,2,0.1,Randomized,0.792295580907223
162,2,0.0,Naive,0.8041062575838188
163,2,0.1,Randomized,0.8041062575838188
164,2,0.0,Naive,0.8741832641589052
165,2,0.1,Randomized,0.7069506841902538
166,2,0.0,Naive,0.8611660445437654
167,2,0.1,Randomized,0.8611660445437654
168,2,0.0,Naive,0.803712704049189
169,2,0.1,Randomized,0.803712704049189
170,2,0.0,Naive,0.7771374704767164
171,2,0.1,Randomized,0.7771374704767164
172,2,0.0,Naive,0.783796499233096
173,2,0.1,Randomized,0.6895410974574583
174,2,0.0,Naive,0.7984369924332037
175,2,0.1,Randomized,0.7984369924332037
176,2,0.0,Naive,0.7927465742183726
177,2,0.1,Randomized,0.7927465742183726
178,2,0.0,Naive,0.3355094676104512
179,2,0.1,Randomized,0.714177532877699
180,2,0.0,Naive,0.8476500020083568
181,2,0.1,Randomized,0.8476500020083568
182,2,0.0,Naive,0.8204189125136615
183,2,0.1,Randomized,0.8204189125136615
184,2,0.0,Naive,0.8394945769674691
185,2,0.1,Randomized,0.8240711632726213
186,2,0.0,Naive,0.8494768453705215
187,2,0.1,Randomized,0.7667840947808672
188,2,0.0,Naive,0.8385749868762701
189,2,0.1,Randomized,0.7418145364200078
190,2,0.0,Naive,0.7771953997545985
191,2,0.1,Randomized,0.7771953997545985
192,2,0.0,Naive,0.9073373629791893
193,2,0.1,Randomized,0.8672940924148898
194,2,0.0,Naive,0.8603234447178696
195,2,0.1,Randomized,0.8603234447178696
196,2,0.0,Naive,0.8489528244613104
197,2,0.1,Randomized,0.6812343295982973
198,2,0.0,Naive,0.7271717174449864
199,2,0.1,Randomized,0.7271717174449864
200,2,0.0,Naive,0.9026997075869638
201,2,0.1,Randomized,0.9026997075869638
202,2,0.0,Naive,0.7821092075362408
203,2,0.1,Randomized,0.7821092075362408
204,2,0.0,Naive,0.8280663104037875
205,2,0.1,Randomized,0.8280663104037875
206,2,0.0,Naive,0.8510377071542995
207,2,0.1,Randomized,0.8377249542728128
208,2,0.0,Naive,0.5678077859299644
209,2,0.1,Randomized,0.8449104543098193
210,2,0.0,Naive,0.7858545323635561
211,2,0.1,Randomized,0.7977816761798856
212,2,0.0,Naive,0.8647713538148083
213,2,0.1,Randomized,0.8989040624504556
214,2,0.0,Naive,0.8535810653208915
215,2,0.1,Randomized,0.8244355637262937
216,2,0.0,Naive,0.42443743800516504
217,2,0.1,Randomized,0.7735049442506967
218,2,0.0,Naive,0.8338799948829669
219,2,0.1,Randomized,0.8369511142841111
220,2,0.0,Naive,0.835436293902445
221,2,0.1,Randomized,0.835436293902445
222,2,0.0,Naive,0.7401622770247271
223,2,0.1,Randomized,0.7401622770247271
224,2,0.0,Naive,0.8513696144369537
225,2,0.1,Randomized,0.8513696144369537
226,2,0.0,Naive,0.8485250553764297
227,2,0.1,Randomized,0.6114099554709121
228,2,0.0,Naive,0.8405696013669538
229,2,0.1,Randomized,0.7678289725713602
230,2,0.0,Naive,0.894319021399753
231,2,0.1,Randomized,0.8453807980203208
232,2,0.0,Naive,0.818666519578342
233,2,0.1,Randomized,0.818666519578342
234,2,0.0,Naive,0.8989075692849477
235,2,0.1,Randomized,0.8989075692849477
236,2,0.0,Naive,0.8348934227681124
237,2,0.1,Randomized,0.8348934227681124
238,2,0.0,Naive,0.6777447040401605
239,2,0.1,Randomized,0.6777447040401605
240,2,0.0,Naive,0.8557927137288769
241,2,0.1,Randomized,0.9180679617420797
242,2,0.0,Naive,0.8885631377538531
243,2,0.1,Randomized,0.8885631377538531
244,2,0.0,Naive,0.7692764679781809
245,2,0.1,Randomized,0.7692764679781809
246,2,0.0,Naive,0.9133211579306948
247,2,0.1,Randomized,0.9133211579306948
248,2,0.0,Naive,0.7801336240777359
249,2,0.1,Randomized,0.7801336240777359
250,2,0.0,Naive,0.7572440021931616
251,2,0.1,Randomized,0.7572440021931616
252,2,0.0,Naive,0.8212884402985351
253,2,0.1,Randomized,0.8212884402985351
254,2,0.0,Naive,0.6943159577457563
255,2,0.1,Randomized,0.6943159577457563
256,2,0.0,Naive,0.8286471956940209
257,2,0.1,Randomized,0.8286471956940209
258,2,0.0,Naive,0.6371758542152443
259,2,0.1,Randomized,0.6371758542152443
260,2,0.0,Naive,0.8628278131270666
261,2,0.1,Randomized,0.8628278131270666
262,2,0.0,Naive,0.7207331181102516
263,2,0.1,Randomized,0.7207331181102516
264,2,0.0,Naive,0.8282846641836182
265,2,0.1,Randomized,0.8282846641836182
266,2,0.0,Naive,0.8381785644240738
267,2,0.1,Randomized,0.8381785644240738
268,2,0.0,Naive,0.7933969151804035
269,2,0.1,Randomized,0.7933969151804035
270,2,0.0,Naive,0.8845562770468789
271,2,0.1,Randomized,0.8845562770468789
272,2,0.0,Naive,0.8787047039627593
273,2,0.1,Randomized,0.9141964213756129
274,2,0.0,Naive,0.8274538710105102
275,2,0.1,Randomized,0.8274538710105102
276,2,0.0,Naive,0.35975993331183853
277,2,0.1,Randomized,0.7506437964109591
278,2,0.0,Naive,0.7081339497609286
279,2,0.1,Randomized,0.7081339497609286
280,2,0.0,Naive,0.864867888309618
281,2,0.1,Randomized,0.864867888309618
282,2,0.0,Naive,0.9479593354422816
283,2,0.1,Randomized,0.4325751192904331
284,2,0.0,Naive,0.7391261913734744
285,2,0.1,Randomized,0.7391261913734744
286,2,0.0,Naive,0.8932673642373993
287,2,0.1,Randomized,0.8932673642373993
288,2,0.0,Naive,0.782442506739995
289,2,0.1,Randomized,0.782442506739995
290,2,0.0,Naive,0.8885635399878178
291,2,0.1,Randomized,0.8885635399878178
292,2,0.0,Naive,0.8597924037383028
293,2,0.1,Randomized,0.8597924037383028
294,2,0.0,Naive,0.5688449773449442
295,2,0.1,Randomized,0.9201717399296652
296,2,0.0,Naive,0.6609250271677046
297,2,0.1,Randomized,0.6609250271677046
298,2,0.0,Naive,0.905365912018551
299,2,0.1,Randomized,0.905365912018551
300,2,0.0,Naive,0.7924162689851454
301,2,0.1,Randomized,0.7924162689851454
302,2,0.0,Naive,0.8290706092251664
303,2,0.1,Randomized,0.8290706092251664
304,2,0.0,Naive,0.7404136191455206
305,2,0.1,Randomized,0.7404136191455206
306,2,0.0,Naive,0.8928879983107723
307,2,0.1,Randomized,0.8928879983107723
308,2,0.0,Naive,0.7666761974230087
309,2,0.1,Randomized,0.9228889832036398
310,2,0.0,Naive,0.4896062388425494
311,2,0.1,Randomized,0.4896062388425494
312,2,0.0,Naive,0.8342560455461699
313,2,0.1,Randomized,0.9513325249558273
314,2,0.0,Naive,0.7456248042363777
315,2,0.1,Randomized,0.6121412652966726
316,2,0.0,Naive,0.3523368154199775
317,2,0.1,Randomized,0.3074226893416334
318,2,0.0,Naive,0.8408016569319413
319,2,0.1,Randomized,0.8408016569319413
320,2,0.0,Naive,0.7364187422218077
321,2,0.1,Randomized,0.7364187422218077
322,2,0.0,Naive,0.6092216538569515
323,2,0.1,Randomized,0.6092216538569515
324,2,0.0,Naive,0.8112046395955509
325,2,0.1,Randomized,0.8112046395955509
326,2,0.0,Naive,0.8217797141883283
327,2,0.1,Randomized,0.8217797141883283
328,2,0.0,Naive,0.8225250330189972
329,2,0.1,Randomized,0.820060312137938
330,2,0.0,Naive,0.8005248690559198
331,2,0.1,Randomized,0.8005248690559198
332,2,0.0,Naive,0.857860031442068
333,2,0.1,Randomized,0.857860031442068
334,2,0.0,Naive,0.8160325609426181
335,2,0.1,Randomized,0.8160325609426181
336,2,0.0,Naive,0.7937793311762549
337,2,0.1,Randomized,0.7937793311762549
338,2,0.0,Naive,0.7944722364997711
339,2,0.1,Randomized,0.7944722364997711
340,2,0.0,Naive,0.8978962003195158
341,2,0.1,Randomized,0.7295281208611529
342,2,0.0,Naive,0.8933351878535782
343,2,0.1,Randomized,0.8541783171008057
344,2,0.0,Naive,0.8609765566855001
345,2,0.1,Randomized,0.6636402571287727
346,2,0.0,Naive,0.9077270900454294
347,2,0.1,Randomized,0.9077270900454294
348,2,0.0,Naive,0.8506001134250288
349,2,0.1,Randomized,0.8506001134250288
350,2,0.0,Naive,0.7800193771497399
351,2,0.1,Randomized,0.7800193771497399
352,2,0.0,Naive,0.7265563114036433
353,2,0.1,Randomized,0.8455152526615387
354,2,0.0,Naive,0.7631255621185091
355,2,0.1,Randomized,0.7631255621185091
356,2,0.0,Naive,0.46081601626702706
357,2,0.1,Randomized,0.8959850172131643
358,2,0.0,Naive,0.8443854971186409
359,2,0.1,Randomized,0.6045311236317031
360,2,0.0,Naive,0.44882793753228645
361,2,0.1,Randomized,0.44882793753228645
362,2,0.0,Naive,0.8895413056304341
363,2,0.1,Randomized,0.8895413056304341
364,2,0.0,Naive,0.7884426778308397
365,2,0.1,Randomized,0.7884426778308397
366,2,0.0,Naive,0.8091405868136585
367,2,0.1,Randomized,0.8091405868136585
368,2,0.0,Naive,0.6898649150663141
369,2,0.1,Randomized,0.6898649150663141
370,2,0.0,Naive,0.8952916548331258
371,2,0.1,Randomized,0.6520390801716137
372,2,0.0,Naive,0.8912655488864113
373,2,0.1,Randomized,0.9543986732535563
374,2,0.0,Naive,0.7790721637347517
375,2,0.1,Randomized,0.7790721637347517
376,2,0.0,Naive,0.8957340856478024
377,2,0.1,Randomized,0.8957340856478024
378,2,0.0,Naive,0.8342616472022081
379,2,0.1,Randomized,0.8342616472022081
380,2,0.0,Naive,0.8832178117261377
381,2,0.1,Randomized,0.8154980205117617
382,2,0.0,Naive,0.8188238354301836
383,2,0.1,Randomized,0.8188238354301836
384,2,0.0,Naive,0.6363344874997378
385,2,0.1,Randomized,0.6363344874997378
386,2,0.0,Naive,0.6094218374979882
387,2,0.1,Randomized,0.6094218374979882
388,2,0.0,Naive,0.7185075502240491
389,2,0.1,Randomized,0.7185075502240491
390,2,0.0,Naive,0.8162851634171739
391,2,0.1,Randomized,0.8162851634171739
392,2,0.0,Naive,0.7679020125721892
393,2,0.1,Randomized,0.7679020125721892
394,2,0.0,Naive,0.8992979557161863
