,delta,Tau,Method,WCSS/TSS
1289,4,0.1,Randomized,0.464187579762141
1290,4,0.0,Naive,0.13995768796274982
1291,4,0.1,Randomized,0.13995768796274982
1292,4,0.0,Naive,0.3116503381445584
1293,4,0.1,Randomized,0.3116503381445584
1294,4,0.0,Naive,0.8025223128661568
1295,4,0.1,Randomized,0.8025223128661568
1296,4,0.0,Naive,0.32093198535156775
1297,4,0.1,Randomized,0.32093198535156775
1298,4,0.0,Naive,0.19866416591737793
1299,4,0.1,Randomized,0.2013084548180075
1300,4,0.0,Naive,0.4736049350378657
1301,4,0.1,Randomized,0.4736049350378657
1302,4,0.0,Naive,0.8302658371018968
1303,4,0.1,Randomized,0.9625563695910245
1304,4,0.0,Naive,0.2238990920189188
1305,4,0.1,Randomized,0.2238990920189188
1306,4,0.0,Naive,0.19239514023246893
1307,4,0.1,Randomized,0.19239514023246893
1308,4,0.0,Naive,0.22685113486375943
1309,4,0.1,Randomized,0.22685113486375943
1310,4,0.0,Naive,0.5872451062323544
1311,4,0.1,Randomized,0.7663003591091645
1312,4,0.0,Naive,0.23459786397485646
1313,4,0.1,Randomized,0.23459786397485646
1314,4,0.0,Naive,0.24616537297526903
1315,4,0.1,Randomized,0.24616537297526903
1316,4,0.0,Naive,0.831732873832436
1317,4,0.1,Randomized,0.831732873832436
1318,4,0.0,Naive,0.8856219937109941
1319,4,0.1,Randomized,0.47225230002861257
1320,4,0.0,Naive,0.9707902527781421
1321,4,0.1,Randomized,0.9707902527781421
1322,4,0.0,Naive,0.9159162315864495
1323,4,0.1,Randomized,0.9159162315864495
1324,4,0.0,Naive,0.21907391041537572
1325,4,0.1,Randomized,0.21907391041537572
1326,4,0.0,Naive,0.23939424663563819
1327,4,0.1,Randomized,0.23939424663563819
1328,4,0.0,Naive,0.881163251168177
1329,4,0.1,Randomized,0.881163251168177
1330,4,0.0,Naive,0.8619676789093815
1331,4,0.1,Randomized,0.8619676789093815
1332,4,0.0,Naive,0.8384918971072146
1333,4,0.1,Randomized,0.8384918971072146
1334,4,0.0,Naive,0.2976796079831796
1335,4,0.1,Randomized,0.2976796079831796
1336,4,0.0,Naive,0.21041086989051214
1337,4,0.1,Randomized,0.21041086989051214
1338,4,0.0,Naive,0.2490110648762829
1339,4,0.1,Randomized,0.2490110648762829
1340,4,0.0,Naive,0.8895664200567849
1341,4,0.1,Randomized,0.8895664200567849
1342,4,0.0,Naive,0.9485544062554923
1343,4,0.1,Randomized,0.3778192055557928
1344,4,0.0,Naive,0.9185732096842861
1345,4,0.1,Randomized,0.22952760978025613
1346,4,0.0,Naive,0.7983317976887987
1347,4,0.1,Randomized,0.7983317976887987
1348,4,0.0,Naive,0.2501524351143656
1349,4,0.1,Randomized,0.2501524351143656
1350,4,0.0,Naive,0.8237527402590977
1351,4,0.1,Randomized,0.7003767821105013
1352,4,0.0,Naive,0.17688328299575135
1353,4,0.1,Randomized,0.17688328299575135
1354,4,0.0,Naive,0.28866344190054516
1355,4,0.1,Randomized,0.28866344190054516
1356,4,0.0,Naive,0.2572867515686027
1357,4,0.1,Randomized,0.2572867515686027
1358,4,0.0,Naive,0.8733246061293185
1359,4,0.1,Randomized,0.3876465986243033
1360,4,0.0,Naive,0.8675850400440697
1361,4,0.1,Randomized,0.8326445850764156
1362,4,0.0,Naive,0.2099650097394294
1363,4,0.1,Randomized,0.2099650097394294
1364,4,0.0,Naive,0.44090620831341537
1365,4,0.1,Randomized,0.44090620831341537
1366,4,0.0,Naive,0.26380958789441605
1367,4,0.1,Randomized,0.26380958789441605
1368,4,0.0,Naive,0.7694427585537138
1369,4,0.1,Randomized,0.29497404902909896
1370,4,0.0,Naive,0.30908220671496633
1371,4,0.1,Randomized,0.30908220671496633
1372,4,0.0,Naive,0.9586252997981546
1373,4,0.1,Randomized,0.9586252997981546
1374,4,0.0,Naive,0.9370429765690818
1375,4,0.1,Randomized,0.9370429765690818
1376,4,0.0,Naive,0.9414706743715451
1377,4,0.1,Randomized,0.9414706743715451
1378,4,0.0,Naive,0.7363516845496564
1379,4,0.1,Randomized,0.7864605874161562
1380,4,0.0,Naive,0.18721820333033964
1381,4,0.1,Randomized,0.3473092167262391
1382,4,0.0,Naive,0.30439994942804866
1383,4,0.1,Randomized,0.30439994942804866
1384,4,0.0,Naive,0.2482032833854378
1385,4,0.1,Randomized,0.2482032833854378
1386,4,0.0,Naive,0.1779020944267175
1387,4,0.1,Randomized,0.1779020944267175
1388,4,0.0,Naive,0.36637197475896155
1389,4,0.1,Randomized,0.8496822085725059
1390,4,0.0,Naive,0.8831261805780524
1391,4,0.1,Randomized,0.8831261805780524
1392,4,0.0,Naive,0.8175461141364456
1393,4,0.1,Randomized,0.8175461141364456
1394,4,0.0,Naive,0.9086067784127235
1395,4,0.1,Randomized,0.9760042862686474
1396,4,0.0,Naive,0.289117018937209
1397,4,0.1,Randomized,0.289117018937209
1398,4,0.0,Naive,0.33786949904897207
1399,4,0.1,Randomized,0.906971519550756
1400,4,0.0,Naive,0.2546823990931093
1401,4,0.1,Randomized,0.2546823990931093
1402,4,0.0,Naive,0.8229724800221635
1403,4,0.1,Randomized,0.8229724800221635
1404,4,0.0,Naive,0.17322276410649262
1405,4,0.1,Randomized,0.15053171974148744
1406,4,0.0,Naive,0.4521958058036332
1407,4,0.1,Randomized,0.4521958058036332
1408,4,0.0,Naive,0.27993202506810944
1409,4,0.1,Randomized,0.8249613181137845
1410,4,0.0,Naive,0.23744238438116497
1411,4,0.1,Randomized,0.23744238438116497
1412,4,0.0,Naive,0.21010832972402552
1413,4,0.1,Randomized,0.21010832972402552
1414,4,0.0,Naive,0.2860324682961567
1415,4,0.1,Randomized,0.2860324682961567
1416,4,0.0,Naive,0.24272594348493162
1417,4,0.1,Randomized,0.8223579909305528
1418,4,0.0,Naive,0.8400950981883105
1419,4,0.1,Randomized,0.8400950981883105
1420,4,0.0,Naive,0.9865226082788866
1421,4,0.1,Randomized,0.9865226082788866
1422,4,0.0,Naive,0.36319276985503496
1423,4,0.1,Randomized,0.36319276985503496
1424,4,0.0,Naive,0.842934506004841
1425,4,0.1,Randomized,0.32275869753745756
1426,4,0.0,Naive,0.23452135665789553
1427,4,0.1,Randomized,0.23452135665789553
1428,4,0.0,Naive,0.6402014425609003
1429,4,0.1,Randomized,0.9960445299309225
1430,4,0.0,Naive,0.36524763761919593
1431,4,0.1,Randomized,0.36524763761919593
1432,4,0.0,Naive,0.2385487971655052
1433,4,0.1,Randomized,0.2385487971655052
1434,4,0.0,Naive,0.8677835560636528
1435,4,0.1,Randomized,0.8677835560636528
1436,4,0.0,Naive,0.9328879078463117
1437,4,0.1,Randomized,0.9328879078463117
1438,4,0.0,Naive,0.2753567624703094
1439,4,0.1,Randomized,0.2753567624703094
1440,4,0.0,Naive,0.21349351929414023
1441,4,0.1,Randomized,0.21349351929414023
1442,4,0.0,Naive,0.3018683543628667
1443,4,0.1,Randomized,0.3018683543628667
1444,4,0.0,Naive,0.23990664619941532
1445,4,0.1,Randomized,0.23990664619941532
1446,4,0.0,Naive,0.9570581808160193
1447,4,0.1,Randomized,0.9570581808160193
1448,4,0.0,Naive,0.25442298194858076
1449,4,0.1,Randomized,0.25442298194858076
1450,4,0.0,Naive,0.9797266635043486
1451,4,0.1,Randomized,0.9236578537442549
1452,4,0.0,Naive,0.797524981082912
1453,4,0.1,Randomized,0.9591865173885076
1454,4,0.0,Naive,0.30427419347192713
1455,4,0.1,Randomized,0.9082195212680866
1456,4,0.0,Naive,0.7709652351835867
1457,4,0.1,Randomized,0.28953171729927707
1458,4,0.0,Naive,0.857519574271134
1459,4,0.1,Randomized,0.857519574271134
1460,4,0.0,Naive,0.7736335609383572
1461,4,0.1,Randomized,0.7736335609383572
1462,4,0.0,Naive,0.2077765059114673
1463,4,0.1,Randomized,0.2077765059114673
1464,4,0.0,Naive,0.8871604432073984
1465,4,0.1,Randomized,0.7563515842071267
1466,4,0.0,Naive,0.9142111363469346
1467,4,0.1,Randomized,0.9142111363469346
1468,4,0.0,Naive,0.9231467897664482
1469,4,0.1,Randomized,0.3492993285487971
1470,4,0.0,Naive,0.2576859157982951
1471,4,0.1,Randomized,0.2576859157982951
1472,4,0.0,Naive,0.22884797740497315
1473,4,0.1,Randomized,0.8521931148372105
1474,4,0.0,Naive,0.8797677011685286
1475,4,0.1,Randomized,0.8797677011685286
1476,4,0.0,Naive,0.8585996943065768
1477,4,0.1,Randomized,0.8585996943065768
1478,4,0.0,Naive,0.2902766330288586
1479,4,0.1,Randomized,0.2902766330288586
1480,4,0.0,Naive,0.8289701071963292
1481,4,0.1,Randomized,0.8289701071963292
1482,4,0.0,Naive,0.255577596776521
1483,4,0.1,Randomized,0.2313685595205911
1484,4,0.0,Naive,0.8093597715257896
1485,4,0.1,Randomized,0.8093597715257896
1486,4,0.0,Naive,0.8910290255707416
1487,4,0.1,Randomized,0.8910290255707416
1488,4,0.0,Naive,0.2594137828338508
1489,4,0.1,Randomized,0.882002935744049
1490,4,0.0,Naive,0.15545083210288274
1491,4,0.1,Randomized,0.27377672815075826
1492,4,0.0,Naive,0.9182527480589555
1493,4,0.1,Randomized,0.624418179522217
1494,4,0.0,Naive,0.2608255489647625
1495,4,0.1,Randomized,0.2608255489647625
1496,4,0.0,Naive,0.7881099361024083
1497,4,0.1,Randomized,0.7143872729524853
1498,4,0.0,Naive,0.7999319465878079
1499,4,0.1,Randomized,0.7999319465878079
1500,4,0.0,Naive,0.18181216904951852
1501,4,0.1,Randomized,0.18181216904951852
1502,4,0.0,Naive,0.8947270674673988
1503,4,0.1,Randomized,0.8947270674673988
1504,4,0.0,Naive,0.3019724162721893
1505,4,0.1,Randomized,0.3019724162721893
1506,4,0.0,Naive,0.8626365355451351
1507,4,0.1,Randomized,0.8626365355451351
1508,4,0.0,Naive,0.24829948521467576
1509,4,0.1,Randomized,0.24829948521467576
1510,4,0.0,Naive,0.9286366084921585
1511,4,0.1,Randomized,0.9286366084921585
1512,4,0.0,Naive,0.38033519845538394
1513,4,0.1,Randomized,0.9371065940582066
1514,4,0.0,Naive,0.8375764975880158
1515,4,0.1,Randomized,0.8375764975880158
1516,4,0.0,Naive,0.23290810955178984
1517,4,0.1,Randomized,0.23290810955178984
1518,4,0.0,Naive,0.948161532492076
1519,4,0.1,Randomized,0.948161532492076
1520,4,0.0,Naive,0.948595897131956
1521,4,0.1,Randomized,0.948595897131956
1522,4,0.0,Naive,0.8167513514633746
1523,4,0.1,Randomized,0.8368969022853151
1524,4,0.0,Naive,0.9516250135559229
1525,4,0.1,Randomized,0.9516250135559229
1526,4,0.0,Naive,0.9338169632242102
1527,4,0.1,Randomized,0.8366570064412938
1528,4,0.0,Naive,0.924085903818498
1529,4,0.1,Randomized,0.8261914061390063
1530,4,0.0,Naive,0.8567562543206722
1531,4,0.1,Randomized,0.8567562543206722
1532,4,0.0,Naive,0.4517870247760736
1533,4,0.1,Randomized,0.896374273205982
1534,4,0.0,Naive,0.9018443745444183
1535,4,0.1,Randomized,0.9018443745444183
1536,4,0.0,Naive,0.17889902811075006
1537,4,0.1,Randomized,0.17889902811075006
1538,4,0.0,Naive,0.8547768232626624
1539,4,0.1,Randomized,0.93287819965988
1540,4,0.0,Naive,0.4122756130521527
1541,4,0.1,Randomized,0.4122756130521527
1542,4,0.0,Naive,0.8320895959363401
1543,4,0.1,Randomized,0.8320895959363401
1544,4,0.0,Naive,0.8099327282074625
1545,4,0.1,Randomized,0.8099327282074625
1546,4,0.0,Naive,0.906778683093398
1547,4,0.1,Randomized,0.44024646669718265
1548,4,0.0,Naive,0.33117603135282386
1549,4,0.1,Randomized,0.976659657640977
1550,4,0.0,Naive,0.8163954189195053
1551,4,0.1,Randomized,0.8163954189195053
1552,4,0.0,Naive,0.20099166922217768
1553,4,0.1,Randomized,0.20099166922217768
1554,4,0.0,Naive,0.279295803573411
1555,4,0.1,Randomized,0.279295803573411
1556,4,0.0,Naive,0.2582517426716877
1557,4,0.1,Randomized,0.2582517426716877
1558,4,0.0,Naive,0.9698255459797279
1559,4,0.1,Randomized,0.9698255459797279
1560,4,0.0,Naive,0.8240211170952988
1561,4,0.1,Randomized,0.8280878227360524
1562,4,0.0,Naive,0.2504318916614642
1563,4,0.1,Randomized,0.2504318916614642
1564,4,0.0,Naive,0.5765022962972823
1565,4,0.1,Randomized,0.8864515058341292
1566,4,0.0,Naive,0.2836999765048127
1567,4,0.1,Randomized,0.2836999765048127
1568,4,0.0,Naive,0.7376621564860111
1569,4,0.1,Randomized,0.7376621564860111
1570,4,0.0,Naive,0.892208735918969
1571,4,0.1,Randomized,0.8561901526887365
1572,4,0.0,Naive,0.5702531397153138
1573,4,0.1,Randomized,0.5702531397153138
1574,4,0.0,Naive,0.8997018432715537
1575,4,0.1,Randomized,0.8997018432715537
1576,4,0.0,Naive,0.8667964928372882
1577,4,0.1,Randomized,0.8383722545139044
1578,4,0.0,Naive,0.7958443146285473
1579,4,0.1,Randomized,0.7958443146285473
1580,4,0.0,Naive,0.23395482249458951
1581,4,0.1,Randomized,0.9442784868247338
1582,4,0.0,Naive,0.23897539638889734
1583,4,0.1,Randomized,0.23897539638889734
1584,4,0.0,Naive,0.9483345017359043
1585,4,0.1,Randomized,0.9483345017359043
1586,4,0.0,Naive,0.7023500720272667
1587,4,0.1,Randomized,0.8076304565606138
1588,4,0.0,Naive,0.7855704996978449
1589,4,0.1,Randomized,0.8986474330766971
1590,4,0.0,Naive,0.8458847563572265
1591,4,0.1,Randomized,0.8458847563572265
1592,4,0.0,Naive,0.8187754421475036
1593,4,0.1,Randomized,0.24337662695357767
1594,4,0.0,Naive,0.7781821271188647
1595,4,0.1,Randomized,0.8478753999078406
1596,4,0.0,Naive,0.8183486421790113
1597,4,0.1,Randomized,0.8183486421790113
1598,4,0.0,Naive,0.23582779979528795
1599,4,0.1,Randomized,0.23582779979528795
1600,4,0.0,Naive,0.8185886666135036
1601,4,0.1,Randomized,0.8185886666135036
1602,4,0.0,Naive,0.195163565071231
1603,4,0.1,Randomized,0.195163565071231
1604,4,0.0,Naive,0.33985651323495525
1605,4,0.1,Randomized,0.868571663924487
1606,4,0.0,Naive,0.2520397552217362
1607,4,0.1,Randomized,0.2520397552217362
1608,4,0.0,Naive,0.2649652373332811
1609,4,0.1,Randomized,0.2649652373332811
1610,4,0.0,Naive,0.8651987209385751
1611,4,0.1,Randomized,0.24748696021970829
1612,4,0.0,Naive,0.8671353021136698
1613,4,0.1,Randomized,0.8997170022213375
1614,4,0.0,Naive,0.8981373921920212
1615,4,0.1,Randomized,0.8981373921920212
1616,4,0.0,Naive,0.9587864606031995
1617,4,0.1,Randomized,0.9587864606031995
1618,4,0.0,Naive,0.9537952967501782
1619,4,0.1,Randomized,0.8151740825406556
1620,4,0.0,Naive,0.30476550561925914
1621,4,0.1,Randomized,0.30476550561925914
1622,4,0.0,Naive,0.8237582189159623
1623,4,0.1,Randomized,0.8438834329634901
1624,4,0.0,Naive,0.25438331706189954
1625,4,0.1,Randomized,0.25438331706189954
1626,4,0.0,Naive,0.182652364555515
1627,4,0.1,Randomized,0.182652364555515
1628,4,0.0,Naive,0.24007168186066977
1629,4,0.1,Randomized,0.2558078259400861
1630,4,0.0,Naive,0.767334186926255
1631,4,0.1,Randomized,0.767334186926255
1632,4,0.0,Naive,0.32079244399455215
1633,4,0.1,Randomized,0.32079244399455215
1634,4,0.0,Naive,0.34553127853298804
1635,4,0.1,Randomized,0.34553127853298804
1636,4,0.0,Naive,0.6445825285715716
1637,4,0.1,Randomized,0.9887730533204184
1638,4,0.0,Naive,0.32305643802722417
1639,4,0.1,Randomized,0.32305643802722417
1640,4,0.0,Naive,0.8525868502958523
1641,4,0.1,Randomized,0.9201944579050904
1642,4,0.0,Naive,0.5801579371052438
1643,4,0.1,Randomized,0.8715018322698453
1644,4,0.0,Naive,0.25022675963125957
1645,4,0.1,Randomized,0.25022675963125957
1646,4,0.0,Naive,0.2375074295344772
1647,4,0.1,Randomized,0.2375074295344772
1648,4,0.0,Naive,0.8487076806795164
1649,4,0.1,Randomized,0.8487076806795164
1650,4,0.0,Naive,0.2320851184886475
1651,4,0.1,Randomized,0.9676557044392646
1652,4,0.0,Naive,0.9388761997439325
1653,4,0.1,Randomized,0.9388761997439325
1654,4,0.0,Naive,0.3023182791509431
1655,4,0.1,Randomized,0.3023182791509431
1656,4,0.0,Naive,0.9205770397056559
1657,4,0.1,Randomized,0.9205770397056559
1658,4,0.0,Naive,0.27429322953717683
1659,4,0.1,Randomized,0.27429322953717683
1660,4,0.0,Naive,0.7848757663933239
1661,4,0.1,Randomized,0.7848757663933239
1662,4,0.0,Naive,0.2688607752117056
1663,4,0.1,Randomized,0.630885000186589
1664,4,0.0,Naive,0.9104630354767279
1665,4,0.1,Randomized,0.9104630354767279
1666,4,0.0,Naive,0.8671346858780796
1667,4,0.1,Randomized,0.8671346858780796
1668,4,0.0,Naive,0.21940528100585874
1669,4,0.1,Randomized,0.21940528100585874
1670,4,0.0,Naive,0.8455040165417789
1671,4,0.1,Randomized,0.8455040165417789
1672,4,0.0,Naive,0.9244934908661765
1673,4,0.1,Randomized,0.8777038894500543
1674,4,0.0,Naive,0.29497635934772953
1675,4,0.1,Randomized,0.7974670089432006
1676,4,0.0,Naive,0.2672147663516712
1677,4,0.1,Randomized,0.8831882389690289
1678,4,0.0,Naive,0.40973261667673394
1679,4,0.1,Randomized,0.8970591848097621
1680,4,0.0,Naive,0.30934938948915147
1681,4,0.1,Randomized,0.828340335349557
1682,4,0.0,Naive,0.8428351995824432
1683,4,0.1,Randomized,0.8689827656686742
1684,4,0.0,Naive,0.2944733715986015
1685,4,0.1,Randomized,0.24201354633444133
1686,4,0.0,Naive,0.22629712458306026
1687,4,0.1,Randomized,0.22629712458306026
1688,4,0.0,Naive,0.8939319734292187
1689,4,0.1,Randomized,0.6450824374147481
1690,4,0.0,Naive,0.9548237179440375
1691,4,0.1,Randomized,0.3009055719056832
1692,4,0.0,Naive,0.2175943084294375
1693,4,0.1,Randomized,0.9714514593558525
1694,4,0.0,Naive,0.8066902592289159
1695,4,0.1,Randomized,0.2571291827613382
1696,4,0.0,Naive,0.27488774458397763
1697,4,0.1,Randomized,0.27488774458397763
1698,4,0.0,Naive,0.47271915451581953
1699,4,0.1,Randomized,0.3279621591221988
1700,4,0.0,Naive,0.20345399978739323
1701,4,0.1,Randomized,0.20345399978739323
1702,4,0.0,Naive,0.8476371772313385
1703,4,0.1,Randomized,0.8476371772313385
1704,4,0.0,Naive,0.2526923764935195
1705,4,0.1,Randomized,0.2526923764935195
1706,4,0.0,Naive,0.27775683630026665
1707,4,0.1,Randomized,0.27775683630026665
1708,4,0.0,Naive,0.2327291969714191
1709,4,0.1,Randomized,0.949112494678114
1710,4,0.0,Naive,0.9879357753814723
1711,4,0.1,Randomized,0.9879357753814723
1712,4,0.0,Naive,0.8657273742269465
1713,4,0.1,Randomized,0.4073848497245319
1714,4,0.0,Naive,0.6539817524310569
1715,4,0.1,Randomized,0.35929164106688555
1716,4,0.0,Naive,0.2670667799933563
1717,4,0.1,Randomized,0.9274122204580648
1718,4,0.0,Naive,0.7398240481662178
1719,4,0.1,Randomized,0.8656428097661626
1720,4,0.0,Naive,0.7508125477582792
1721,4,0.1,Randomized,0.7508125477582792
1722,4,0.0,Naive,0.20109118372761609
1723,4,0.1,Randomized,0.20109118372761609
1724,4,0.0,Naive,0.8702606781024006
1725,4,0.1,Randomized,0.8702606781024006
1726,4,0.0,Naive,0.3730614190392212
1727,4,0.1,Randomized,0.3730614190392212
1728,4,0.0,Naive,0.7992934770363718
1729,4,0.1,Randomized,0.7992934770363718
1730,4,0.0,Naive,0.2815578839057951
1731,4,0.1,Randomized,0.2815578839057951
1732,4,0.0,Naive,0.8699975223804346
1733,4,0.1,Randomized,0.8699975223804346
1734,4,0.0,Naive,0.7799472017948437
1735,4,0.1,Randomized,0.8590366335184846
1736,4,0.0,Naive,0.27540974391788986
1737,4,0.1,Randomized,0.27540974391788986
1738,4,0.0,Naive,0.24085898913813006
1739,4,0.1,Randomized,0.24085898913813006
1740,4,0.0,Naive,0.8900386308036797
1741,4,0.1,Randomized,0.8900386308036797
1742,4,0.0,Naive,0.46211859575621406
1743,4,0.1,Randomized,0.46211859575621406
1744,4,0.0,Naive,0.2617471265455864
1745,4,0.1,Randomized,0.7172496936905767
1746,4,0.0,Naive,0.7759652889846391
1747,4,0.1,Randomized,0.7759652889846391
1748,4,0.0,Naive,0.301927771381929
1749,4,0.1,Randomized,0.34934934488918
1750,4,0.0,Naive,0.8784057406260402
1751,4,0.1,Randomized,0.8784057406260402
1752,4,0.0,Naive,0.24349601987030822
1753,4,0.1,Randomized,0.8586383551090964
1754,4,0.0,Naive,0.18429911111241817
1755,4,0.1,Randomized,0.18429911111241817
1756,4,0.0,Naive,0.27136767682950885
1757,4,0.1,Randomized,0.27136767682950885
1758,4,0.0,Naive,0.8655470033105119
1759,4,0.1,Randomized,0.8907187972463019
1760,4,0.0,Naive,0.8478914173340865
1761,4,0.1,Randomized,0.8478914173340865
1762,4,0.0,Naive,0.38274250501313023
1763,4,0.1,Randomized,0.8876240861240874
1764,4,0.0,Naive,0.20782195678870216
1765,4,0.1,Randomized,0.20782195678870216
1766,4,0.0,Naive,0.8816978204309263
1767,4,0.1,Randomized,0.8816978204309263
1768,4,0.0,Naive,0.2736879077374565
1769,4,0.1,Randomized,0.2736879077374565
1770,4,0.0,Naive,0.28034315911285324
1771,4,0.1,Randomized,0.28034315911285324
1772,4,0.0,Naive,0.28588613385517736
1773,4,0.1,Randomized,0.28588613385517736
1774,4,0.0,Naive,0.2092587221532058
1775,4,0.1,Randomized,0.2682126956633352
1776,4,0.0,Naive,0.26639042527457485
1777,4,0.1,Randomized,0.26639042527457485
1778,4,0.0,Naive,0.901786954280529
1779,4,0.1,Randomized,0.901786954280529
1780,4,0.0,Naive,0.22460365219047135
1781,4,0.1,Randomized,0.22460365219047135
1782,4,0.0,Naive,0.24165016819435256
1783,4,0.1,Randomized,0.24165016819435256
1784,4,0.0,Naive,0.2774306081607137
1785,4,0.1,Randomized,0.3376681125210908
1786,4,0.0,Naive,0.2951781579778361
1787,4,0.1,Randomized,0.827312439898729
1788,4,0.0,Naive,0.9219820700046714
1789,4,0.1,Randomized,0.9219820700046714
1790,4,0.0,Naive,0.7646785773037627
1791,4,0.1,Randomized,0.7646785773037627
1792,4,0.0,Naive,0.25866597057249757
1793,4,0.1,Randomized,0.25866597057249757
1794,4,0.0,Naive,0.9077347027798599
1795,4,0.1,Randomized,0.4062657022863193
1796,4,0.0,Naive,0.2998973539163573
1797,4,0.1,Randomized,0.9006197032416612
1798,4,0.0,Naive,0.5339457816652091
1799,4,0.1,Randomized,0.9823241207600378
1800,4,0.0,Naive,0.814223483899171
1801,4,0.1,Randomized,0.814223483899171
1802,4,0.0,Naive,0.7475847981098427
1803,4,0.1,Randomized,0.7475847981098427
1804,4,0.0,Naive,0.2721689757420084
1805,4,0.1,Randomized,0.26121880971702877
1806,4,0.0,Naive,0.28674259716996436
1807,4,0.1,Randomized,0.28674259716996436
1808,4,0.0,Naive,0.9553786417827937
1809,4,0.1,Randomized,0.22852565269381253
1810,4,0.0,Naive,0.8910894843031629
1811,4,0.1,Randomized,0.8910894843031629
1812,4,0.0,Naive,0.35566315516802605
1813,4,0.1,Randomized,0.8404443749609111
1814,4,0.0,Naive,0.9252069597843925
1815,4,0.1,Randomized,0.9252069597843925
1816,4,0.0,Naive,0.17411314973567926
1817,4,0.1,Randomized,0.17411314973567926
1818,4,0.0,Naive,0.22753557221376078
1819,4,0.1,Randomized,0.22753557221376078
1820,4,0.0,Naive,0.12513908693243866
1821,4,0.1,Randomized,0.12513908693243866
1822,4,0.0,Naive,0.2947048655301351
1823,4,0.1,Randomized,0.2947048655301351
1824,4,0.0,Naive,0.8706834569790872
1825,4,0.1,Randomized,0.2781176478991495
1826,4,0.0,Naive,0.8754281265394144
1827,4,0.1,Randomized,0.8474211765047661
1828,4,0.0,Naive,0.9320821884349242
1829,4,0.1,Randomized,0.9320821884349242
1830,4,0.0,Naive,0.2655744939258165
1831,4,0.1,Randomized,0.2985996499160158
1832,4,0.0,Naive,0.3766659783382201
1833,4,0.1,Randomized,0.3766659783382201
1834,4,0.0,Naive,0.8447386227222947
1835,4,0.1,Randomized,0.852917352818928
1836,4,0.0,Naive,0.7767965984653873
1837,4,0.1,Randomized,0.7767965984653873
1838,4,0.0,Naive,0.2686648514845119
1839,4,0.1,Randomized,0.2686648514845119
1840,4,0.0,Naive,0.5694336064672315
1841,4,0.1,Randomized,0.666748895483176
1842,4,0.0,Naive,0.9599897073356656
1843,4,0.1,Randomized,0.2045697397855199
1844,4,0.0,Naive,0.17107638430165872
1845,4,0.1,Randomized,0.17107638430165872
1846,4,0.0,Naive,0.8685715952785665
1847,4,0.1,Randomized,0.8126359263423563
1848,4,0.0,Naive,0.7743278068798035
1849,4,0.1,Randomized,0.7743278068798035
1850,4,0.0,Naive,0.27914358131752204
1851,4,0.1,Randomized,0.27914358131752204
1852,4,0.0,Naive,0.29718993807285393
1853,4,0.1,Randomized,0.29718993807285393
1854,4,0.0,Naive,0.8318813396574039
1855,4,0.1,Randomized,0.8560130640402167
1856,4,0.0,Naive,0.9166188562713322
1857,4,0.1,Randomized,0.7966544493774501
1858,4,0.0,Naive,0.24413860288876338
1859,4,0.1,Randomized,0.24413860288876338
1860,4,0.0,Naive,0.2606741518256598
1861,4,0.1,Randomized,0.2606741518256598
1862,4,0.0,Naive,0.7532834311449289
1863,4,0.1,Randomized,0.7532834311449289
1864,4,0.0,Naive,0.7752210052986465
1865,4,0.1,Randomized,0.7752210052986465
1866,4,0.0,Naive,0.835514658586125
1867,4,0.1,Randomized,0.835514658586125
1868,4,0.0,Naive,0.8554567425642327
1869,4,0.1,Randomized,0.7560808247403582
1870,4,0.0,Naive,0.25555209977677185
1871,4,0.1,Randomized,0.25555209977677185
1872,4,0.0,Naive,0.30820449760482443
1873,4,0.1,Randomized,0.30820449760482443
1874,4,0.0,Naive,0.7455528122457068
1875,4,0.1,Randomized,0.7455528122457068
1876,4,0.0,Naive,0.9164688658475583
1877,4,0.1,Randomized,0.6571648567580278
1878,4,0.0,Naive,0.22284437417176717
1879,4,0.1,Randomized,0.22284437417176717
1880,4,0.0,Naive,0.2772552941834255
1881,4,0.1,Randomized,0.2772552941834255
1882,4,0.0,Naive,0.807197023895966
1883,4,0.1,Randomized,0.845377212584633
1884,4,0.0,Naive,0.8907019450359536
1885,4,0.1,Randomized,0.8907019450359536
1886,4,0.0,Naive,0.902406451744938
1887,4,0.1,Randomized,0.32007641807170056
1888,4,0.0,Naive,0.31446753000808286
1889,4,0.1,Randomized,0.31446753000808286
1890,4,0.0,Naive,0.8475207779764848
1891,4,0.1,Randomized,0.8475207779764848
1892,4,0.0,Naive,0.26319570041117346
1893,4,0.1,Randomized,0.26319570041117346
1894,4,0.0,Naive,0.8556102867595126
1895,4,0.1,Randomized,0.2950125111480711
1896,4,0.0,Naive,0.22644853343359642
1897,4,0.1,Randomized,0.22644853343359642
1898,4,0.0,Naive,0.28484418307648496
1899,4,0.1,Randomized,0.28484418307648496
1900,4,0.0,Naive,0.8667423325719096
1901,4,0.1,Randomized,0.8667423325719096
1902,4,0.0,Naive,0.6442237958540716
1903,4,0.1,Randomized,0.8481696768581513
1904,4,0.0,Naive,0.18875017213336062
1905,4,0.1,Randomized,0.18875017213336062
1906,4,0.0,Naive,0.9576398928928649
1907,4,0.1,Randomized,0.9576398928928649
1908,4,0.0,Naive,0.838732126181299
1909,4,0.1,Randomized,0.838732126181299
1910,4,0.0,Naive,0.25040268086844714
1911,4,0.1,Randomized,0.25040268086844714
