Tau,Delta,Conditional Power,Recovery Probability,Successful Trials
0.01,4,0.34306569343065696,0.137,False
0.01,6,0.6821026282853567,0.799,False
0.01,8,0.947261663286004,0.986,False
0.01,10,1.0,1.0,True
0.01,12,1.0,1.0,True
0.05,4,0.8977272727272727,0.088,False
0.05,6,0.9951845906902087,0.623,False
0.05,8,1.0,0.932,False
0.05,10,1.0,0.996,False
0.05,12,1.0,0.997,False
